dataset,run1_mrr,run2_mrr,run3_mrr,mean_mrr,sample_std_mrr
KG20C,0.234204256527,0.233952000000,0.234200396913,0.234118884480,0.000144539083
codex-m,0.344525383814,0.344803000000,0.344552244545,0.344626876120,0.000153117898
WN18RR,0.500685454015,0.502189000000,0.499587278137,0.500820577384,0.001306113665
FB15k-237,0.352813934547,0.355348000000,0.352837922524,0.353666619023,0.001456168035
codex-l,0.333238682086,0.334178000000,0.333196020847,0.333537567644,0.000555040716
YAGO3-10,0.575986079180,0.578974000000,0.575938452621,0.576966177267,0.001738988547
