bucket,num_relations,positive_ratio,negative_ratio,avg_rel_gain_pct,median_rel_gain_pct,avg_baseline_stage1_mrr,avg_dep_per_rule
"[0.0,0.2)",117,0.239316,0.128205,2.412039,0.000000,0.098115,0.658050
"[0.2,0.4)",137,0.248175,0.299270,2.124147,0.411538,0.298917,1.221055
"[0.4,0.6)",109,0.110092,0.376147,0.655146,0.000000,0.488888,1.753391
"[0.6,1.0]",62,0.048387,0.419355,-1.466537,0.000000,0.763941,1.843188
