dataset,aggregation,component,count,mean_original,mean_trained,mean_abs_delta,mean_abs_trained,positive_ratio,negative_ratio,near_zero_ratio_0.01,near_zero_ratio_0.05,min_trained,max_trained,max_abs_trained,dep_type
KG20C,init_dep_with_lift,dependency_final,1594,-0.050534,-0.053363,0.006863,0.056800,0.012547,0.987453,0.486826,0.789837,-0.590139,0.268109,0.590139,redundancy
KG20C,init_dep_with_lift,dependency_final,166721,0.007940,0.012494,0.005011,0.012927,0.998315,0.001685,0.683003,0.978713,-0.331517,1.150979,1.150979,synergy
KG20C,init_dep_with_lift,dependency_trial,1594,-0.050534,-0.053363,0.006863,0.056800,0.012547,0.987453,0.486826,0.789837,-0.590139,0.268109,0.590139,redundancy
KG20C,init_dep_with_lift,dependency_trial,166721,0.007940,0.012494,0.005011,0.012927,0.998315,0.001685,0.683003,0.978713,-0.331517,1.150979,1.150979,synergy
codex-m,structural_r3d6,dependency_final,10575,0.000000,-0.021552,0.026576,0.026576,0.226667,0.765768,0.522080,0.824397,-0.588727,0.383116,0.588727,redundancy
codex-m,structural_r3d6,dependency_final,28926,0.000000,-0.001091,0.027363,0.027363,0.509196,0.473864,0.448213,0.834440,-0.482844,0.485781,0.485781,synergy
codex-m,structural_r3d6,dependency_trial,419748,0.000000,-0.000543,0.000670,0.000670,0.005711,0.019293,0.987959,0.995576,-0.588727,0.383116,0.588727,redundancy
codex-m,structural_r3d6,dependency_trial,463459,0.000000,-0.000068,0.001708,0.001708,0.031781,0.029575,0.965561,0.989667,-0.482844,0.485781,0.485781,synergy
WN18RR,structural_rd,dependency_final,1503,0.000000,0.006490,0.012111,0.012111,0.843646,0.086494,0.732535,0.967399,-0.302465,0.197262,0.302465,redundancy
WN18RR,structural_rd,dependency_final,3979,0.000000,0.011244,0.022021,0.022021,0.722795,0.190249,0.518221,0.858256,-0.280675,0.234521,0.280675,synergy
WN18RR,structural_rd,dependency_trial,12985,0.000000,0.000781,0.001476,0.001476,0.099884,0.011013,0.966500,0.996072,-0.302465,0.197262,0.302465,redundancy
WN18RR,structural_rd,dependency_trial,32227,0.000000,0.001994,0.005075,0.005075,0.160456,0.071896,0.860272,0.977286,-0.280675,0.234521,0.280675,synergy
FB15k-237,best_combination,dependency_final,611928,0.000000,-0.002467,0.008330,0.008330,0.480213,0.441954,0.666307,0.991056,-0.517134,0.224642,0.517134,redundancy
FB15k-237,best_combination,dependency_final,611100,0.000000,-0.000400,0.013866,0.013866,0.448200,0.537095,0.608771,0.953270,-0.611616,0.418117,0.611616,synergy
FB15k-237,best_combination,dependency_trial,2493217,0.000000,-0.000606,0.002045,0.002045,0.117862,0.108472,0.918099,0.997805,-0.517134,0.224642,0.517134,redundancy
FB15k-237,best_combination,dependency_trial,1453172,0.000000,-0.000168,0.005831,0.005831,0.188481,0.225864,0.835477,0.980349,-0.611616,0.418117,0.611616,synergy
codex-l,structural_dep_scale,dependency_final,97862,0.000000,-0.088063,0.102490,0.102490,0.154422,0.840050,0.142098,0.820778,-6.767926,2.174907,6.767926,redundancy
codex-l,structural_dep_scale,dependency_final,137658,0.000000,-0.063622,0.200768,0.200768,0.451372,0.547574,0.107927,0.535922,-5.685352,2.572623,5.685352,synergy
codex-l,structural_dep_scale,dependency_trial,207004,0.000000,-0.041632,0.048452,0.048452,0.073003,0.397137,0.594423,0.915272,-6.767926,2.174907,6.767926,redundancy
codex-l,structural_dep_scale,dependency_trial,248326,0.000000,-0.035268,0.111295,0.111295,0.250215,0.303545,0.505485,0.742741,-5.685352,2.572623,5.685352,synergy
YAGO3-10,structural_dep_scale,dependency_final,290455,0.000000,0.020443,0.199555,0.199555,0.599074,0.397249,0.189448,0.459162,-3.252486,2.156901,3.252486,redundancy
YAGO3-10,structural_dep_scale,dependency_final,348155,0.000000,-0.017071,0.143453,0.143453,0.430024,0.569577,0.109578,0.432474,-2.341679,2.403139,2.403139,synergy
YAGO3-10,structural_dep_scale,dependency_trial,819806,0.000000,0.007243,0.070702,0.070702,0.212250,0.140744,0.712824,0.808383,-3.252486,2.156901,3.252486,redundancy
YAGO3-10,structural_dep_scale,dependency_trial,887353,0.000000,-0.006698,0.056284,0.056284,0.168721,0.223475,0.650641,0.777330,-2.341679,2.403139,2.403139,synergy
hetionet,structural_r2d3,dependency_final,79246,0.000000,-0.003249,0.005627,0.005627,0.111059,0.249666,0.794829,0.991444,-0.161119,0.077539,0.161119,redundancy
hetionet,structural_r2d3,dependency_final,585115,0.000000,-0.000035,0.002818,0.002818,0.145737,0.153457,0.899240,0.998898,-0.168523,0.188690,0.188690,synergy
hetionet,structural_r2d3,dependency_trial,2673911,0.000000,-0.000096,0.000167,0.000167,0.003291,0.007399,0.993919,0.999746,-0.161119,0.077539,0.161119,redundancy
hetionet,structural_r2d3,dependency_trial,4480693,0.000000,-0.000005,0.000368,0.000368,0.019031,0.020039,0.986842,0.999856,-0.168523,0.188690,0.188690,synergy
