dataset,best_combination,best_combination_dep_l1_regularization_dep_fix_topk8_0412,best_combination_dep_score_clip_dep_fix_topk8_0412,best_combination_global_preselected_dep_topk_per_kind_dep_fix_topk8_0412,best_combination_static_per_rule_dep_norm_dep_fix_topk8_0412,canonical,dep_scale_surprisal_init,ensemble_best_valid,eval-maxplus,eval-noisyor,init_dep_with_lift,pos_auto_ratio,redundancy,sign_constraint_dependency,structural_dep_scale,structural_none,structural_none__stage1,structural_none_lift_k1,structural_none_lift_k4,structural_none_mix_k1,structural_none_mix_k2,structural_none_mix_k4,structural_none_ratio_k1,structural_none_ratio_k2,structural_none_ratio_k4,structural_r2d3,structural_r2d3__stage1,structural_r3d6,structural_r3d6__stage1,structural_rd,structural_rd__stage1,structural_rule_mask,structural_surprisal_init,synergy
KG20C,0.233439,0.233342,0.233448,0.232752,0.231797,0.239401,0.232402,0.235229,0.214810,0.229772,0.233655,0.233439,0.229664,0.233496,0.232600,0.232779,0.228299,0.232688,0.232688,0.232688,0.232688,0.232688,0.232719,0.232735,0.232688,0.227091,0.226728,0.228288,0.227693,0.227670,0.227177,0.232842,0.231997,0.232885
codex-m,0.343197,0.343797,0.343660,0.343425,0.343331,0.345537,0.342372,0.346341,0.319487,0.300655,0.338399,0.340062,0.342124,0.341891,0.342975,0.342474,0.340835,0.342591,0.342413,0.342588,0.342475,0.342403,0.342807,0.342864,0.342424,0.342941,0.342441,0.343299,0.342662,0.342537,0.341877,0.342114,0.341896,0.341465
WN18RR,0.501890,0.502195,0.500810,0.501590,0.501095,0.499500,0.499377,0.500155,0.496968,0.459271,0.500869,0.499556,0.499462,0.499512,0.499873,0.500535,0.499158,0.500219,0.500230,0.500253,0.500236,0.500226,0.500658,0.500319,0.500230,0.499230,0.498380,0.499178,0.498278,0.502189,0.499477,0.500666,0.500205,0.499568
FB15k-237,0.353336,0.353831,0.353529,0.352434,0.352155,0.353919,0.349500,0.356932,0.329486,0.337685,0.330619,0.350906,0.347210,0.334086,0.349468,0.348228,0.345429,0.348303,0.348145,0.348040,0.348129,0.347900,0.346839,0.348507,0.347830,0.351555,0.350036,0.351437,0.349652,0.344174,0.350534,0.347743,0.348360,0.348182
codex-l,0.333575,0.334126,0.333453,0.332766,0.332486,0.331778,0.333444,0.335194,0.311458,0.302914,0.332621,0.330024,0.332636,0.332814,0.333772,0.333535,0.330436,0.333574,0.333530,0.333575,0.333530,0.333530,0.333560,0.333530,0.333530,0.331684,0.329436,0.331726,0.329622,0.332875,0.329303,0.332537,0.332853,0.333339
YAGO3-10,0.576069,0.576319,0.575810,0.574772,0.574927,0.573990,0.577546,0.577210,0.554384,0.529551,0.569127,0.572212,0.574653,,0.577961,0.575377,0.572480,0.575528,0.575377,0.575511,0.575377,0.575377,0.575691,0.575380,0.575377,0.576659,0.574017,0.568721,0.557344,0.573780,0.573865,0.574721,0.575444,0.575473
hetionet,0.373229,0.374393,0.372298,0.372125,0.373354,,0.378467,0.380345,0.350685,0.302653,0.357075,0.365239,0.362197,0.362044,0.360300,0.362111,0.361201,0.362117,0.362111,0.362111,0.362111,0.362111,0.362109,0.362111,0.362111,0.369847,0.369368,0.368801,0.368395,0.364354,0.370460,0.361919,0.365147,0.362595
