dataset,best_config,best_config_mrr,structural_none,structural_rd,structural_r2d3,structural_r3d6,canonical,ensemble_best_valid,eval-maxplus,eval-noisyor
KG20C,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.233342,0.232779,0.227670,0.227091,0.228288,0.239401,0.235229,0.214810,0.229772
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.343797,0.342474,0.342537,0.342941,0.343299,0.345537,0.346341,0.319487,0.300655
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.502195,0.500535,0.502189,0.499230,0.499178,0.499500,0.500155,0.496968,0.459271
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.353831,0.348228,0.344174,0.351555,0.351437,0.353919,0.356932,0.329486,0.337685
codex-l,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.334126,0.333535,0.332875,0.331684,0.331726,0.331778,0.335194,0.311458,0.302914
YAGO3-10,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.576319,0.575377,0.573780,0.576659,0.568721,0.573990,0.577210,0.554384,0.529551
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.374393,0.362111,0.364354,0.369847,0.368801,,0.380345,0.350685,0.302653
wikidata5m,,,,,,,,,0.354055,0.353522
