dataset,aggregation,type_grouping,typed_test_mrr,num_relations,num_relations_with_rule_type_weights,num_relations_with_dep_type_weights,top_rule_type,top_rule_type_share,top_dep_type,top_dep_type_share,rule_type_entropy,dep_type_entropy,ud_lt_b_lt_uc_ratio,dominant_rule_share_B,median_rule_weight_B,median_rule_impact_B,dominant_rule_share_U,median_rule_weight_U,median_rule_impact_U,dominant_rule_share_Uc,median_rule_weight_Uc,median_rule_impact_Uc,dominant_rule_share_Ud,median_rule_weight_Ud,median_rule_impact_Ud,dominant_dep_share_BB,median_dep_weight_BB,median_dep_impact_BB,dominant_dep_share_BU,median_dep_weight_BU,median_dep_impact_BU,dominant_dep_share_UU,median_dep_weight_UU,median_dep_impact_UU,dominant_dep_share_B_Uc,median_dep_weight_B_Uc,median_dep_impact_B_Uc,dominant_dep_share_B_Ud,median_dep_weight_B_Ud,median_dep_impact_B_Ud,dominant_dep_share_Uc_Uc,median_dep_weight_Uc_Uc,median_dep_impact_Uc_Uc,dominant_dep_share_Uc_Ud,median_dep_weight_Uc_Ud,median_dep_impact_Uc_Ud,dominant_dep_share_Ud_Ud,median_dep_weight_Ud_Ud,median_dep_impact_Ud_Ud
KG20C,structural_r3d6,r3d6,0.228288,5,5,5,Uc,1.000000,Uc_Uc,0.800000,0.000000,0.721928,0.000000,0.000000,0.927333,9.000000,0.000000,,,1.000000,1.947160,18187.584758,0.000000,1.165153,5386.000000,0.000000,1.000000,15.000000,0.000000,,,0.000000,,,0.200000,1.259243,5023.000000,0.000000,,,0.800000,1.212942,1623.000000,0.000000,1.200985,25.000000,0.000000,,
codex-m,structural_r3d6,r3d6,0.343299,46,46,39,Uc,0.739130,Uc_Uc,0.282609,0.673588,0.945976,0.186047,0.173913,0.971097,70.319722,0.000000,,,0.739130,1.500834,1205.146651,0.086957,1.125548,370.103721,0.260870,1.096058,142.000000,0.000000,,,0.000000,,,0.086957,1.063687,47.000000,0.000000,,,0.282609,1.105226,373.000000,0.217391,1.083131,145.586761,0.000000,1.045674,23.000000
WN18RR,structural_r2d3,r2d3,0.499230,11,11,10,U,1.000000,BB,0.545455,0.000000,0.864974,,0.000000,1.138572,467.103511,1.000000,1.991467,4396.000000,0.000000,,,0.000000,,,0.545455,1.161566,894.000000,0.181818,1.042404,58.000000,0.181818,1.060624,122.000000,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
FB15k-237,structural_r2d3,r2d3,0.351555,237,237,231,U,0.873418,UU,0.552743,0.547990,0.688886,,0.126582,0.875913,133.414140,0.873418,0.941303,792.607643,0.000000,,,0.000000,,,0.405063,1.022124,811.707969,0.016878,1.023539,141.000000,0.552743,1.024819,911.000000,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
codex-l,structural_r3d6,r3d6,0.331726,65,65,58,Uc,0.692308,BB,0.292308,0.750330,0.911257,0.200000,0.123077,1.029426,66.644135,0.000000,,,0.692308,1.652591,719.918498,0.184615,1.182604,126.520805,0.292308,1.135682,98.722119,0.000000,,,0.000000,,,0.076923,1.123010,50.613295,0.000000,,,0.276923,1.163424,214.000000,0.169231,1.119057,37.971090,0.076923,1.071955,7.520836
YAGO3-10,structural_r2d3,r2d3,0.576659,37,37,35,U,0.945946,UU,0.378378,0.303375,0.975530,,0.054054,1.056776,72.927475,0.945946,1.547591,2147.157193,0.000000,,,0.000000,,,0.351351,1.213303,189.943088,0.216216,1.205194,158.000000,0.378378,1.218407,448.995041,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
hetionet,structural_r2d3,r2d3,0.369847,24,24,23,U,1.000000,UU,0.666667,0.000000,0.748531,,0.000000,0.801376,47.249836,1.000000,1.053304,49900.302019,0.000000,,,0.000000,,,0.166667,1.023697,55.000000,0.125000,1.006177,3829.000000,0.666667,1.014723,9254.965379,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
