dataset,best_config,canonical_time_s,canonical_time_source,ruledep_stage1_time_s,ruledep_stage2_time_s,ruledep_total_time_s,relation_count,missing_epoch_count
KG20C,best_combination_dep_l1_regularization_dep_fix_topk8_0412,2448.914000,actual,351.945981,185.490058,537.436039,5,0
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,7890.144000,actual,1210.189747,756.584342,1966.774089,46,0
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,6391.193000,actual,1404.501697,610.851930,2015.353627,11,0
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,15532.391000,actual,3855.068284,2193.966475,6049.034759,237,0
codex-l,best_combination_dep_l1_regularization_dep_fix_topk8_0412,33603.206000,actual,2960.063111,2396.180951,5356.244062,65,0
YAGO3-10,best_combination_dep_l1_regularization_dep_fix_topk8_0412,18013.941000,actual,3232.138001,1297.850487,4529.988488,37,0
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,,,5680.921000,3677.189873,9358.110872,24,0
