dataset,aggregation,type_grouping,typed_test_mrr,relation,relation_name,num_test_samples,selected_stage,dependency_weight_source,dominant_rule_type,dominant_rule_support,dominant_rule_weight,dominant_rule_abs_delta,dominant_rule_impact,dominant_dep_type,dominant_dep_support,dominant_dep_weight,dominant_dep_abs_delta,dominant_dep_impact,rule_weight_B,rule_support_B,rule_abs_delta_B,rule_impact_B,rule_weight_U,rule_support_U,rule_abs_delta_U,rule_impact_U,rule_weight_Uc,rule_support_Uc,rule_abs_delta_Uc,rule_impact_Uc,rule_weight_Ud,rule_support_Ud,rule_abs_delta_Ud,rule_impact_Ud,dep_weight_BB,dep_support_BB,dep_abs_delta_BB,dep_impact_BB,dep_weight_BU,dep_support_BU,dep_abs_delta_BU,dep_impact_BU,dep_weight_UU,dep_support_UU,dep_abs_delta_UU,dep_impact_UU,dep_weight_B_Uc,dep_support_B_Uc,dep_abs_delta_B_Uc,dep_impact_B_Uc,dep_weight_B_Ud,dep_support_B_Ud,dep_abs_delta_B_Ud,dep_impact_B_Ud,dep_weight_Uc_Uc,dep_support_Uc_Uc,dep_abs_delta_Uc_Uc,dep_impact_Uc_Uc,dep_weight_Uc_Ud,dep_support_Uc_Ud,dep_abs_delta_Uc_Ud,dep_impact_Uc_Ud,dep_weight_Ud_Ud,dep_support_Ud_Ud,dep_abs_delta_Ud_Ud,dep_impact_Ud_Ud,rule_order_ud_lt_b_lt_uc
KG20C,structural_r3d6,r3d6,0.228288,0,author_in_affiliation,480,dependency,final,Uc,3284.000000,5.538241,4.538241,18187.584758,Uc_Uc,45.000000,2.064709,1.064709,92.911914,0.978039,2.000000,0.021961,1.956077,,,,,5.538241,3284.000000,4.538241,18187.584758,2.060202,896.000000,1.060202,1845.941350,,,,,,,,,,,,,2.036972,44.000000,1.036972,89.626768,,,,,2.064709,45.000000,1.064709,92.911914,1.602956,15.000000,0.602956,24.044334,,,,,False
KG20C,structural_r3d6,r3d6,0.228288,1,author_write_paper,830,rule_only,trial,Uc,11248.000000,1.000000,0.000000,11248.000000,B_Uc,2030.000000,1.000000,0.000000,2030.000000,1.000000,10.000000,0.000000,10.000000,,,,,1.000000,11248.000000,0.000000,11248.000000,1.000000,5386.000000,0.000000,5386.000000,1.000000,6.000000,0.000000,6.000000,,,,,,,,,1.000000,2030.000000,0.000000,2030.000000,,,,,1.000000,1623.000000,0.000000,1623.000000,,,,,,,,,False
KG20C,structural_r3d6,r3d6,0.228288,2,paper_cite_paper,599,rule_only,trial,Uc,18418.000000,1.000000,0.000000,18418.000000,Uc_Uc,5639.000000,1.000000,0.000000,5639.000000,1.000000,27.000000,0.000000,27.000000,,,,,1.000000,18418.000000,0.000000,18418.000000,1.000000,8266.000000,0.000000,8266.000000,1.000000,15.000000,0.000000,15.000000,,,,,,,,,1.000000,5023.000000,0.000000,5023.000000,,,,,1.000000,5639.000000,0.000000,5639.000000,,,,,,,,,False
KG20C,structural_r3d6,r3d6,0.228288,3,paper_in_domain,1446,rule_only,trial,Uc,93474.000000,1.000000,0.000000,93474.000000,Uc_Uc,143939.000000,1.000000,0.000000,143939.000000,1.000000,9.000000,0.000000,9.000000,,,,,1.000000,93474.000000,0.000000,93474.000000,1.000000,7839.000000,0.000000,7839.000000,1.000000,21.000000,0.000000,21.000000,,,,,,,,,1.000000,9524.000000,0.000000,9524.000000,,,,,1.000000,143939.000000,0.000000,143939.000000,1.000000,35.000000,0.000000,35.000000,,,,,False
KG20C,structural_r3d6,r3d6,0.228288,4,paper_in_venue,369,rule_only,trial,Uc,5844.000000,1.197558,0.197558,6998.528952,Uc_Uc,331.000000,1.000000,0.000000,331.000000,0.658625,8.000000,0.341375,5.269004,,,,,1.197558,5844.000000,0.197558,6998.528952,0.765562,79.000000,0.234438,60.479414,,,,,,,,,,,,,,,,,,,,,1.000000,331.000000,0.000000,331.000000,1.000000,25.000000,0.000000,25.000000,,,,,False
codex-m,structural_r3d6,r3d6,0.343299,0,P161,448,rule_only,trial,Uc,3371.000000,1.000000,0.000000,3371.000000,Uc_Uc,236.000000,1.000000,0.000000,236.000000,1.000000,74.000000,0.000000,74.000000,,,,,1.000000,3371.000000,0.000000,3371.000000,1.000000,2887.000000,0.000000,2887.000000,1.000000,12.000000,0.000000,12.000000,,,,,,,,,1.000000,39.000000,0.000000,39.000000,,,,,1.000000,236.000000,0.000000,236.000000,,,,,,,,,False
codex-m,structural_r3d6,r3d6,0.343299,1,P463,583,rule_only,trial,Uc,60010.000000,0.372211,0.627789,22336.400113,Uc_Uc,168817.000000,1.000000,0.000000,168817.000000,0.599860,270.000000,0.400140,161.962227,,,,,0.372211,60010.000000,0.627789,22336.400113,0.867985,2750.000000,0.132015,2386.958750,1.000000,1449.000000,0.000000,1449.000000,,,,,,,,,1.000000,15127.000000,0.000000,15127.000000,,,,,1.000000,168817.000000,0.000000,168817.000000,1.000000,6840.000000,0.000000,6840.000000,1.000000,283.000000,0.000000,283.000000,False
codex-m,structural_r3d6,r3d6,0.343299,2,P106,3635,rule_only,trial,Uc,256176.000000,0.899298,0.100702,230378.513213,B_Uc,80659.000000,1.000000,0.000000,80659.000000,0.694230,301.000000,0.305770,208.963260,,,,,0.899298,256176.000000,0.100702,230378.513213,0.936829,11999.000000,0.063171,11241.009971,1.000000,11461.000000,0.000000,11461.000000,,,,,,,,,1.000000,80659.000000,0.000000,80659.000000,,,,,1.000000,74693.000000,0.000000,74693.000000,1.000000,5800.000000,0.000000,5800.000000,1.000000,348.000000,0.000000,348.000000,False
codex-m,structural_r3d6,r3d6,0.343299,3,P27,829,dependency,final,Uc,6230.000000,2.616468,1.616468,16300.593771,BB,3017.000000,1.606403,0.606403,4846.517248,0.907973,712.000000,0.092027,646.476491,,,,,2.616468,6230.000000,1.616468,16300.593771,0.829229,1291.000000,0.170771,1070.534897,1.606403,3017.000000,0.606403,4846.517248,,,,,,,,,1.410291,416.000000,0.410291,586.681222,,,,,1.520840,1433.000000,0.520840,2179.363290,1.483980,729.000000,0.483980,1081.821493,1.119938,45.000000,0.119938,50.397210,True
codex-m,structural_r3d6,r3d6,0.343299,4,P69,498,dependency,final,Uc,3462.000000,2.452381,1.452381,8490.141983,Uc_Uc,314.000000,1.000000,0.000000,314.000000,0.943082,150.000000,0.056918,141.462240,,,,,2.452381,3462.000000,1.452381,8490.141983,1.429997,1734.000000,0.429997,2479.614451,1.000000,9.000000,0.000000,9.000000,,,,,,,,,1.000000,47.000000,0.000000,47.000000,,,,,1.000000,314.000000,0.000000,314.000000,1.000000,38.000000,0.000000,38.000000,,,,,False
codex-m,structural_r3d6,r3d6,0.343299,5,P172,132,dependency,final,Uc,1335.000000,1.632194,0.632194,2178.979524,Uc_Uc,1426.000000,1.044939,0.044939,1490.082871,0.807832,131.000000,0.192168,105.825940,,,,,1.632194,1335.000000,0.632194,2178.979524,0.800072,417.000000,0.199928,333.630149,1.033923,757.000000,0.033923,782.680014,,,,,,,,,1.044896,56.000000,0.044896,58.514170,,,,,1.044939,1426.000000,0.044939,1490.082871,1.045389,466.000000,0.045389,487.151227,1.012806,28.000000,0.012806,28.358574,True
codex-m,structural_r3d6,r3d6,0.343299,6,P840,85,dependency,final,Uc,353.000000,1.907244,0.907244,673.257238,BB,88.000000,1.265345,0.265345,111.350360,0.948702,103.000000,0.051298,97.716337,,,,,1.907244,353.000000,0.907244,673.257238,1.385524,337.000000,0.385524,466.921588,1.265345,88.000000,0.265345,111.350360,,,,,,,,,1.015578,1.000000,0.015578,1.015578,,,,,1.246533,73.000000,0.246533,90.996887,1.233815,41.000000,0.233815,50.586415,1.156265,2.000000,0.156265,2.312530,False
codex-m,structural_r3d6,r3d6,0.343299,7,P530,297,rule_only,trial,Uc,110903.000000,0.631709,0.368291,70058.389956,Uc_Uc,354649.000000,1.000000,0.000000,354649.000000,0.670368,429.000000,0.329632,287.587657,,,,,0.631709,110903.000000,0.368291,70058.389956,0.661043,5125.000000,0.338957,3387.843325,1.000000,19646.000000,0.000000,19646.000000,,,,,,,,,1.000000,90317.000000,0.000000,90317.000000,,,,,1.000000,354649.000000,0.000000,354649.000000,1.000000,1182.000000,0.000000,1182.000000,1.000000,34.000000,0.000000,34.000000,False
codex-m,structural_r3d6,r3d6,0.343299,8,P509,148,dependency,final,Uc,1155.000000,1.977472,0.977472,2283.980507,Uc_Ud,78.000000,0.994687,0.005313,77.585563,1.095933,61.000000,0.095933,66.851889,,,,,1.977472,1155.000000,0.977472,2283.980507,0.990086,579.000000,0.009914,573.259852,1.001766,2.000000,0.001766,2.003532,,,,,,,,,,,,,,,,,0.991104,29.000000,0.008896,28.742013,0.994687,78.000000,0.005313,77.585563,0.989330,2.000000,0.010670,1.978659,True
codex-m,structural_r3d6,r3d6,0.343299,9,P17,79,dependency,final,Uc,1147.000000,1.415453,0.415453,1623.524362,BB,3623.000000,1.094102,0.094102,3963.930821,0.849003,334.000000,0.150997,283.567035,,,,,1.415453,1147.000000,0.415453,1623.524362,0.850771,562.000000,0.149229,478.133471,1.094102,3623.000000,0.094102,3963.930821,,,,,,,,,1.079323,414.000000,0.079323,446.839763,,,,,1.072159,109.000000,0.072159,116.865364,1.094637,133.000000,0.094637,145.586761,1.028563,23.000000,0.028563,23.656949,False
codex-m,structural_r3d6,r3d6,0.343299,10,P136,591,dependency,final,Uc,5032.000000,2.014428,1.014428,10136.600186,Uc_Uc,2293.000000,1.530674,0.530674,3509.834336,0.980010,198.000000,0.019990,194.042000,,,,,2.014428,5032.000000,1.014428,10136.600186,1.764717,1915.000000,0.764717,3379.433246,1.556319,1140.000000,0.556319,1774.203774,,,,,,,,,1.480995,949.000000,0.480995,1405.463970,,,,,1.530674,2293.000000,0.530674,3509.834336,1.525042,1267.000000,0.525042,1932.227834,1.395551,89.000000,0.395551,124.204048,False
codex-m,structural_r3d6,r3d6,0.343299,11,P1412,598,rule_only,trial,Uc,5079.000000,1.804958,0.804958,9167.381174,BB,3228.000000,1.000000,0.000000,3228.000000,0.630267,350.000000,0.369733,220.593625,,,,,1.804958,5079.000000,0.804958,9167.381174,0.831705,840.000000,0.168295,698.632200,1.000000,3228.000000,0.000000,3228.000000,,,,,,,,,1.000000,353.000000,0.000000,353.000000,,,,,1.000000,985.000000,0.000000,985.000000,1.000000,474.000000,0.000000,474.000000,1.000000,23.000000,0.000000,23.000000,False
codex-m,structural_r3d6,r3d6,0.343299,12,P159,8,dependency,final,B,53.000000,1.326787,0.326787,70.319722,Uc_Ud,7.000000,1.026237,0.026237,7.183659,1.326787,53.000000,0.326787,70.319722,,,,,1.666736,7.000000,0.666736,11.667155,1.221070,22.000000,0.221070,26.863533,1.032448,4.000000,0.032448,4.129791,,,,,,,,,1.023454,2.000000,0.023454,2.046909,,,,,,,,,1.026237,7.000000,0.026237,7.183659,,,,,True
