dataset,aggregation,rule_weight_B,rule_weight_U,rule_weight_Uc,rule_weight_Ud,dep_weight_BB,dep_weight_BU,dep_weight_UU,dep_weight_B_Uc,dep_weight_B_Ud,dep_weight_Uc_Uc,dep_weight_Uc_Ud,dep_weight_Ud_Ud
KG20C,best_combination_dep_l1_regularization_dep_fix_topk8_0412,,,,,,,,,,,,
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.857143,,1.557762,1.152033,1.098542,,,1.076794,,1.125505,1.072753,1.016463
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,,,,,,,,,,,,
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.874891,1.045590,,,1.046069,1.050677,1.049162,,,,,
codex-l,best_combination_dep_l1_regularization_dep_fix_topk8_0412,,,,,,,,,,,,
YAGO3-10,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.981356,1.112677,,,0.776220,0.685037,1.119908,,,,,
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.626415,0.891258,,,0.664618,0.667848,0.701781,,,,,
