bucket,num_relations,positive_ratio,negative_ratio,avg_rel_gain_pct,median_rel_gain_pct,avg_baseline_stage1_mrr,avg_dep_per_rule
Q1,107,0.140187,0.252336,0.648807,0.000000,0.231909,0.053675
Q2,106,0.245283,0.198113,2.701843,0.301392,0.339890,0.377675
Q3,106,0.188679,0.320755,1.299087,0.000000,0.415959,1.592216
Q4,106,0.188679,0.405660,0.900252,0.000000,0.454244,3.161529
