dataset,aggregation,MRR,h@1,h@10,time
WN18RR,structural_none,0.500535,0.457243,0.583599,2700.819594
WN18RR,structural_none__stage1,0.499158,0.455169,0.584078,2700.819594
WN18RR,structural_none_lift_k1,0.500219,0.456605,0.583280,2279.539734
WN18RR,structural_none_lift_k4,0.500230,0.456605,0.583440,2218.483329
WN18RR,structural_none_mix_k1,0.500253,0.456605,0.583440,2223.784477
WN18RR,structural_none_mix_k2,0.500236,0.456605,0.583280,2223.074110
WN18RR,structural_none_mix_k4,0.500226,0.456605,0.583440,2224.447450
WN18RR,structural_none_ratio_k1,0.500658,0.457084,0.584078,2223.288769
WN18RR,structural_none_ratio_k2,0.500319,0.456605,0.583759,2243.767143
WN18RR,structural_none_ratio_k4,0.500230,0.456605,0.583440,2279.858264
WN18RR,structural_r2d3,0.499230,0.456445,0.580728,2770.886662
WN18RR,structural_r2d3__stage1,0.498380,0.456286,0.580568,2770.886662
WN18RR,structural_r3d6,0.499178,0.456445,0.581844,2572.872592
WN18RR,structural_r3d6__stage1,0.498278,0.455967,0.581525,2572.872592
WN18RR,structural_rd,0.502189,0.459636,0.583918,2511.770580
WN18RR,structural_rd__stage1,0.499477,0.456924,0.583599,2511.770580
WN18RR,structural_rule_mask,0.500666,0.457722,0.584237,2426.087277
WN18RR,structural_surprisal_init,0.500205,0.456924,0.582482,2383.281735
WN18RR,synergy,0.499568,0.455807,0.583121,2556.211140
FB15k-237,best_combination,0.353336,0.265098,0.529292,10688.947561
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.353831,0.265416,0.530416,12098.069518
FB15k-237,best_combination_dep_score_clip_dep_fix_topk8_0412,0.353529,0.264976,0.529659,11807.151890
FB15k-237,best_combination_global_preselected_dep_topk_per_kind_dep_fix_topk8_0412,0.352434,0.263926,0.529952,11144.473860
FB15k-237,best_combination_static_per_rule_dep_norm_dep_fix_topk8_0412,0.352155,0.262875,0.530514,12262.009042
FB15k-237,canonical,0.353919,0.267102,0.529757,15532.391000
FB15k-237,dep_scale_surprisal_init,0.349500,0.262606,0.521352,10202.442165
FB15k-237,ensemble_best_valid,0.356932,0.270571,0.529854,10841.214940
FB15k-237,eval-maxplus,0.329486,0.244747,0.502614,19.146405
FB15k-237,eval-noisyor,0.337685,0.252468,0.506743,19.078532
FB15k-237,init_dep_with_lift,0.330619,0.246409,0.495431,10953.738655
FB15k-237,pos_auto_ratio,0.350906,0.263241,0.528608,10920.022949
FB15k-237,redundancy,0.347210,0.261165,0.518372,10152.207723
FB15k-237,sign_constraint_dependency,0.334086,0.250831,0.500195,11113.736928
FB15k-237,structural_dep_scale,0.349468,0.263046,0.521328,11436.896805
FB15k-237,structural_none,0.348228,0.262215,0.518103,10881.643523
FB15k-237,structural_none__stage1,0.345429,0.259210,0.517981,10881.643523
FB15k-237,structural_none_lift_k1,0.348303,0.262118,0.518983,10075.601971
FB15k-237,structural_none_lift_k4,0.348145,0.262631,0.516369,11557.597384
FB15k-237,structural_none_mix_k1,0.348040,0.262240,0.518421,9958.712794
FB15k-237,structural_none_mix_k2,0.348129,0.262264,0.517663,10869.957332
FB15k-237,structural_none_mix_k4,0.347900,0.261898,0.517175,11792.050952
FB15k-237,structural_none_ratio_k1,0.346839,0.260969,0.517468,9916.048107
FB15k-237,structural_none_ratio_k2,0.348507,0.262313,0.518616,10821.623357
FB15k-237,structural_none_ratio_k4,0.347830,0.261947,0.516808,11869.630398
FB15k-237,structural_r2d3,0.351555,0.266393,0.520766,11723.998487
FB15k-237,structural_r2d3__stage1,0.350036,0.263926,0.523527,11723.998487
