feature_set,feature_count,gain_10,gain_20,gain_30,gain_50,gain_100
same_top8_diverse_a,8,0.151976718731,0.0900117777986,0.0681381426519,0.0474234161201,0.0216214023458
same_top10_diverse,10,0.150191045689,0.0893458556809,0.0674761360574,0.0469561774559,0.0216214023458
same_top8_diverse_b,8,0.141152512772,0.0877325747414,0.0660864174461,0.0462689875651,0.0216214023458
diverse_prefix5,5,0.128526599638,0.0830229244443,0.063476283376,0.0442508727375,0.0216214023458
diverse_prefix4,4,0.12733615844,0.0817920930162,0.0624368024999,0.0432981395687,0.0216214023458
diverse_prefix3,3,0.109580240044,0.0740186434449,0.0559907366336,0.0408593886586,0.0216214023458
