bucket,num_relations,positive_ratio,negative_ratio,avg_rel_gain_pct,median_rel_gain_pct,avg_baseline_stage1_mrr,avg_dep_per_rule
Q1,107,0.149533,0.289720,0.376013,0.000000,0.231909,0.053675
Q2,106,0.292453,0.207547,2.488702,0.390249,0.339890,0.377675
Q3,106,0.254717,0.245283,2.693465,0.073064,0.415959,1.592216
Q4,106,0.254717,0.254717,2.122922,0.000000,0.454244,3.161529
