scope,size,selector,tag,gain_10,gain_20,gain_50
global,4,balanced4_syn_max_topk_eff_global_rf,balanced4_syn_max_topk_eff,0.16662235702357214,0.09912126337271958,0.04252669474773353
global,3,balanced3_max_topk_eff_global_rf,balanced3_max_topk_eff,0.14181264527008683,0.08907169320855608,0.04261140473126947
global,2,balanced2_syn_topk_global_rf,balanced2_syn_topk,0.12639871598658683,0.08310264363815545,0.04014986077110035
global,1,balanced1_syn_global_rf,balanced1_syn,0.07319102491326442,0.05945160712572022,0.03683510025829254
per_dataset,4,balanced4_syn_max_topk_eff_rf,balanced4_syn_max_topk_eff,0.2228009761851601,0.1411999423689285,0.06211209595886121
per_dataset,3,balanced3_syn_topk_eff_rf,balanced3_syn_topk_eff,0.1987622686020222,0.12456348660881351,0.05930264760732519
per_dataset,2,balanced2_syn_topk_rf,balanced2_syn_topk,0.17415936124700607,0.10965860177112731,0.055031040659719234
per_dataset,1,balanced1_eff_rf,balanced1_eff,0.12033979860683239,0.0908111270466776,0.053609500011806296
