selector,gain_10,gain_20,gain_30,gain_50,gain_100
balanced1_eff_global_rf,0.060545970488262046,0.0540435219692405,0.04608061863372174,0.03787789515613903,0.021203276274830714
balanced1_eff_rf,0.12033979860683239,0.0908111270466776,0.07552324204672087,0.053609500011806296,0.021203276274830745
balanced1_max_global_rf,0.07251033651918203,0.05458910622485434,0.046045791861678786,0.038323200262161405,0.021203276274830683
balanced1_max_rf,0.11518751774692373,0.07884586634158526,0.05858634328682439,0.043550285522718654,0.02120327627483065
balanced1_syn_global_rf,0.07319102491326442,0.05945160712572022,0.04830820813007421,0.03683510025829254,0.02120327627483065
balanced1_syn_rf,0.10612526196256757,0.0816221282673952,0.06123239156790335,0.04398735923306745,0.021203276274830683
balanced1_topk_global_rf,0.048188529796966355,0.03971013566382885,0.033485252860302496,0.025853579905399098,0.02120327627483065
balanced1_topk_rf,0.11018724748520861,0.08557069441631514,0.07011835796289279,0.04801313550394615,0.021203276274830683
balanced2_max_eff_global_rf,0.11943707452220899,0.08211888996488291,0.06254597944564229,0.043449999673463226,0.02120327627483065
balanced2_max_eff_rf,0.16414471758990576,0.113738419822618,0.08145910224800411,0.05422539449186977,0.02120327627483065
balanced2_max_topk_global_rf,0.10943081190949829,0.07931164838116701,0.056766811990977314,0.03734495499487865,0.02120327627483065
balanced2_max_topk_rf,0.1692655080217982,0.10596831319205016,0.07921973869582111,0.0530264807753276,0.02120327627483065
balanced2_syn_eff_global_rf,0.1148836261071782,0.07722777850838433,0.055388587953198155,0.04207560742960673,0.021203276274830714
balanced2_syn_eff_rf,0.16757179483059295,0.11309155749901098,0.08361817851607174,0.05607417813250591,0.021203276274830714
balanced2_syn_max_global_rf,0.10572720815309096,0.07154427610030496,0.05597596129488723,0.039290285257705344,0.021203276274830683
balanced2_syn_max_rf,0.14405853285272835,0.09964637253870016,0.07193040038796752,0.04774689882357471,0.02120327627483065
balanced2_syn_topk_global_rf,0.12639871598658683,0.08310264363815545,0.06173002275458688,0.04014986077110035,0.02120327627483059
balanced2_syn_topk_rf,0.17415936124700607,0.10965860177112731,0.08185310164655157,0.055031040659719234,0.021203276274830714
balanced2_topk_eff_global_rf,0.07200899751543928,0.05378422261123496,0.04724784490487414,0.036188163417304055,0.02120327627483062
balanced2_topk_eff_rf,0.168425147675653,0.11378776152882164,0.08609803154936271,0.059741812587578984,0.021203276274830714
balanced3_max_topk_eff_global_rf,0.14181264527008683,0.08907169320855608,0.06561550096540793,0.04261140473126947,0.021203276274830683
balanced3_max_topk_eff_rf,0.1800996280812305,0.12183160205900904,0.08791470383893543,0.0592727004711263,0.021203276274830714
balanced3_syn_max_eff_global_rf,0.14088402000979788,0.09054671748400975,0.06282805608183588,0.04368233925473865,0.02120327627483062
balanced3_syn_max_eff_rf,0.1797746840162414,0.11906724697858391,0.085765690024914,0.0560615835512566,0.02120327627483065
balanced3_syn_max_topk_global_rf,0.14072450392806482,0.09243470910683617,0.06538503623034418,0.039437282257057574,0.02120327627483065
balanced3_syn_max_topk_rf,0.19062880185675798,0.11883016117917612,0.08546513174109917,0.05425893963661484,0.021203276274830683
balanced3_syn_topk_eff_global_rf,0.13852127070143805,0.0869030661604721,0.06403957133263723,0.044028056122451566,0.021203276274830683
balanced3_syn_topk_eff_rf,0.1987622686020222,0.12456348660881351,0.09247103737098926,0.05930264760732519,0.02120327627483062
balanced4_syn_max_topk_eff_global_rf,0.16662235702357214,0.09912126337271958,0.0699630704319404,0.04252669474773353,0.021203276274830683
balanced4_syn_max_topk_eff_rf,0.2228009761851601,0.1411999423689285,0.09943511848127261,0.06211209595886121,0.021203276274830745
