metric,dataset,feature,op,threshold,coverage,n,mean_delta,base_rr,rel_gain,improved,worse,unchanged,improved_sum,worse_sum,improved_mean,worse_mean
official_aligned,FB15k-237,gt_stage1_official,<=,0.0,0.26715500134741177,10905,0.0006887920176457361,0.00013673795479602878,5.037314026476432,4269,3640,2996,16.854060692933153,-9.342783740506398,0.0039480114061684595,-0.00256669882980945
official_aligned,FB15k-237,gt_stage2_official,<=,0.0,0.26715500134741177,10905,0.0006887920176457361,0.00013673795479602878,5.037314026476432,4269,3640,2996,16.854060692933153,-9.342783740506398,0.0039480114061684595,-0.00256669882980945
official_aligned,FB15k-237,gt_rules,<=,0.0,0.26715500134741177,10905,0.0006887920176457361,0.00013673795479602878,5.037314026476432,4269,3640,2996,16.854060692933153,-9.342783740506398,0.0039480114061684595,-0.00256669882980945
official_aligned,FB15k-237,gt_stage1_official,<=,0.016286432901595094,0.3000073495186065,12246,0.0006311316616067451,0.007793211873708832,0.08098479443834063,4850,4142,3254,18.520942907837867,-10.792104579801665,0.003818751115018117,-0.0026055298357802186
official_aligned,FB15k-237,gt_stage2_official,<=,0.015300241014762435,0.30003184791396165,12247,0.0005587218470745545,0.007553323088925028,0.07397033603577396,4846,4157,3244,18.540114603318354,-11.697448142196286,0.00382585938987172,-0.0028139158388732948
official_aligned,FB15k-237,dep_nonzero_ratio,>=,0.9801980198019802,0.20093583870256498,8202,0.009145608397933068,0.18520477698952673,0.049381061042773476,5487,2661,54,111.26368563919428,-36.251405559347255,0.02027769011102502,-0.013623226440942222
official_aligned,FB15k-237,num_edges,>=,193.0,0.20186677772605893,8240,0.009413536554857682,0.19975005027557705,0.04712657915164817,5522,2718,0,126.51188594617838,-48.944344734151066,0.02291051900510293,-0.018007485185486043
official_aligned,FB15k-237,num_edges,>=,147.0,0.25147602832014504,10265,0.009714126381546777,0.20644366125640873,0.04705461200613742,6699,3566,0,159.85175385352198,-60.13624654694432,0.023862032221752795,-0.01686378198175668
official_aligned,FB15k-237,dep_nonzero_ratio,>=,0.9262295081967213,0.25042259731987554,10222,0.008893277532061124,0.19473196880180554,0.04566932479952755,6515,3653,54,143.18581010435875,-52.27872717162995,0.02197786801294839,-0.01431117634044072
official_aligned,FB15k-237,avg_pos_dep,>=,8.572289156626505,0.250765574854847,10236,0.010184250145878156,0.22529082943850517,0.04520490324111494,6835,3399,2,158.31383807437848,-54.06785358116968,0.023162229418343595,-0.01590698840281544
