selector,dataset,gain_2,gain_4,gain_6,gain_8,gain_10,gain_12,gain_14,gain_16,gain_18,gain_20,gain_22,gain_24,gain_26,gain_28,gain_30,gain_32,gain_34,gain_36,gain_38,gain_40,gain_42,gain_44,gain_46,gain_48,gain_50,gain_52,gain_54,gain_56,gain_57,gain_60,gain_62,gain_64,gain_66,gain_68,gain_70,gain_72,gain_74,gain_76,gain_78,gain_80,gain_82,gain_84,gain_86,gain_88,gain_90,gain_92,gain_94,gain_96,gain_98,gain_100
balanced1_eff_global_rf,FB15k-237,0.02969906951346,0.0242593830573694,0.0262522061784018,0.0213259936162268,0.0220484461315102,0.014983001660721,0.0161141880384461,0.0144292468108537,0.0144475254962803,0.0121975235129445,0.0123083347556958,0.0116825750110931,0.011635985350116,0.0119951201544092,0.013287263481793,0.0130522419117222,0.0124380641386043,0.0124750478840012,0.0122839695329357,0.0128938135379841,0.013016483294111,0.012386069443532,0.0121860934888209,0.0120077999233632,0.0111930670085176,0.0114929832122279,0.0117732646353776,0.0118169855833356,0.0114949404480666,0.0114769911523668,0.0115089402486803,0.0112541848013079,0.0111874184029874,0.0112033608781623,0.0114173904144148,0.0112548286282669,0.0107572201720516,0.0106995604402142,0.0105541414522996,0.0106941925931194,0.0119593480776056,0.0120002312743221,0.0121916628126219,0.0119080809969123,0.0117844071006636,0.0112936954111155,0.0106374179832107,0.0100196371388392,0.00951270316746,0.0091863930002082
balanced1_eff_global_rf,KG20C,0.0062288583530121,0.0371428507539759,0.0376424267163519,0.0275962393227569,0.0306823249618415,0.063418984026073,0.0554859028771377,0.0671415359767426,0.061948164400414,0.0624080016738426,0.0548463768012972,0.0504586098309018,0.0508219535870337,0.0518036092619682,0.0509894116072546,0.0500443516057949,0.0536233452087988,0.0525409282986426,0.0472945047717536,0.0477358903860891,0.0477126697531757,0.0482128648188617,0.0453128688322563,0.0474442347927317,0.0468939886427544,0.0471856787833733,0.0509532392651652,0.0481390053601118,0.0461283166532635,0.0447565654532373,0.0414543322001357,0.0391287437785392,0.0396445144622705,0.0393326269305793,0.0410781742900676,0.0403864328924692,0.042321288249334,0.042315972610927,0.0417373238305189,0.0411598551803598,0.0417288270705797,0.0378001083981793,0.0380839206914662,0.0402757472950461,0.0382214131428728,0.038252427930407,0.038636980908147,0.0383212025083017,0.0357205899058634,0.0335983049479202
balanced1_eff_global_rf,WN18RR,0.0194034897727437,0.0197994245237926,0.0163887675591944,0.0160713911887582,0.010843595910754,0.0092270397275737,0.0070644092035001,0.0065725912289618,0.0058756787661111,0.0070131005725497,0.0070378140710061,0.007621719521111,0.0075807942895691,0.0077573488927746,0.0072197441370289,0.0081909870690493,0.0076478426274373,0.0072740317914252,0.006812415689368,0.006561490367007,0.0062580040399842,0.0059712581031496,0.0058349072337102,0.0056090074206747,0.0053988236942763,0.0052056449971862,0.0050241480526971,0.0048791705036568,0.004910360260903,0.004804559181553,0.0046453803395756,0.0039305433720413,0.0037367410307329,0.00357258237461,0.0037517692705428,0.0036661146336978,0.0037937519723887,0.0039360285516307,0.0040067845146067,0.0041055140934829,0.0041350255053713,0.0042008949042879,0.0042826856208593,0.0042298534516564,0.0042599481559042,0.0042786618274814,0.0042868484290408,0.0041398206626057,0.004104098938821,0.0041565388272568
balanced1_eff_global_rf,YAGO3-10,0.0748133781889635,0.0750402975867812,0.0757935079350371,0.0886653899213278,0.0826420636496276,0.0830920791779312,0.0783489739597858,0.0702031594261964,0.063134579557446,0.0552241445599304,0.0535911693240374,0.0500935594242066,0.0479737328963678,0.0446206432764033,0.0444956661478668,0.0443983644018133,0.0412873137200244,0.0386821539702204,0.0395162802332733,0.0385329290505047,0.0371116650815308,0.0372153359501412,0.0356108513965613,0.0352982161336761,0.0361775574598521,0.0360248070210771,0.037195725077993,0.0365096345399651,0.0364877150475577,0.0363736148934883,0.0354540142698651,0.0357366034628854,0.0352029593478249,0.0341210665537865,0.0349052675820216,0.0348762326024667,0.0350881379452294,0.0350074770334947,0.0347861478349296,0.0346245531045279,0.0341237669572491,0.0339512868020048,0.0340623692720252,0.0343118673390963,0.034135271805662,0.0344922997533896,0.0353016190540824,0.0349729041304212,0.0339128622505424,0.0330330397451521
balanced1_eff_global_rf,codex-l,0.0060296078468213,0.0196670269334822,0.030442487934319,0.0238752902716175,0.0198101655695357,0.0153256556838414,0.017292358541521,0.019227582812711,0.0220040864136514,0.0222751123401721,0.0227612775685444,0.0237343356036305,0.023022672706745,0.0228094432490515,0.0223149195414309,0.0198476775773805,0.0191544706491644,0.0190008764428535,0.0197638325810021,0.0195450400160457,0.0190253063738203,0.0180211096052429,0.0179638858185819,0.0178362198854997,0.0178357579027026,0.0174730895065404,0.0174133736185333,0.0167963056443123,0.016730178292962,0.0160610537947885,0.0156122072095277,0.0155284594353042,0.0155905317084024,0.0154189920046379,0.0153725919716238,0.0152230551842171,0.0151517001233172,0.0148377009315685,0.0152885801103439,0.0152680392834343,0.0155187451637008,0.015624613606415,0.0156415512812391,0.015889644456283,0.0157817670630378,0.0155157097741611,0.0154709193690441,0.0154608484961722,0.0153863587982976,0.0149772581335478
balanced1_eff_global_rf,codex-m,0.276620073821294,0.127471625708476,0.0903062177348739,0.0651032556517956,0.0553719424908702,0.0478463727032774,0.0452415896693449,0.0426771840645623,0.0411045900085178,0.0375175358372776,0.0350718839436323,0.0350261649447272,0.0340338918870417,0.0345511348180405,0.0295911091244107,0.0273829711605098,0.0261132416142286,0.0258508396883929,0.0238249055584851,0.0206639429281574,0.0191226052606969,0.0175559302384824,0.0163999343033902,0.0144925420048642,0.0134072454657523,0.0121426504714201,0.0116250248380493,0.0117814516691809,0.0108008506486974,0.0103059783604022,0.0104644146303918,0.0095225368899445,0.0092085818839935,0.008986034735009,0.0085989316060504,0.0082471319991412,0.0078485231226677,0.007634565941325,0.0072395354063798,0.0073254569902914,0.0078311769572669,0.0077410647893274,0.0080816811585158,0.0080529482827513,0.0080813396075027,0.0082951703030897,0.0082195371561935,0.0081680437515145,0.0078461073708318,0.0075604315685127
balanced1_eff_global_rf,hetionet,0.3578789875756698,0.2402212894123185,0.1941376754323469,0.1705700328211559,0.1543083281322779,0.1457274868178615,0.1389416709122599,0.1336400350493298,0.1293650118786813,0.1257099503583216,0.122438509032251,0.1196805922541803,0.1169022822069569,0.1143135535244255,0.1125262043936003,0.1105394218174919,0.1080305699607127,0.1055434202095662,0.1030516034274544,0.1008921768029855,0.0974768794565619,0.0944602409915993,0.0921728318148784,0.0903938612811892,0.0887114981723296,0.0867080383464096,0.084935565495287,0.0835103529056244,0.0818485384382481,0.0799149483728431,0.0777840805208391,0.0760056820391987,0.0746869565596237,0.0733504597880239,0.0722390495930489,0.070796950718031,0.0692103594524584,0.0677863176941624,0.066310396669392,0.0648231734494464,0.0630883583812278,0.061752136624241,0.0601719843316599,0.0594355610074317,0.0582602780088024,0.0563016029358465,0.054870836986413,0.0529771333138551,0.0498604619091727,0.0459109677012161
balanced1_eff_rf,FB15k-237,0.1668011539345151,0.0900377787741186,0.0619149135296841,0.0497217363174977,0.0428994335383241,0.0363394359988411,0.0323907663473197,0.0304456282041001,0.0297457089346795,0.0279854794009204,0.0269411398120631,0.0257855661140866,0.0246946949406958,0.0241814806904625,0.0223260729169718,0.021779366347149,0.0208960314712847,0.020524658600654,0.0196348981295892,0.0188263574949723,0.0187258228675253,0.0187295475264008,0.0175345276652834,0.0171644851830246,0.0167175117908711,0.0172213960995115,0.0169899121742191,0.0159145725721896,0.0147657606126003,0.0146146847861989,0.0145294772233306,0.0143459646956745,0.0144139893104955,0.0142749818049778,0.0138358957209772,0.013594960914371,0.0135348842006042,0.0133449604082613,0.0132491893952686,0.0131541097809697,0.0129687308656671,0.0126513907135004,0.0123867269912967,0.0122457382960068,0.0118306322383159,0.0111036981917413,0.0106079744789497,0.0101209698537203,0.0098070339714442,0.0091863930002082
balanced1_eff_rf,KG20C,0.0354942049315454,-0.0098970346483743,-0.0087530694394422,-0.0018713054163721,0.0056314633784833,0.0102207174502151,0.011884976665007,0.0116310995784711,0.0196995372425725,0.0165981567403823,0.0160623883458739,0.0183122095482319,0.0209893190718326,0.0270426542644732,0.028110785948924,0.0278518119118404,0.0297097850629179,0.0319159590698536,0.0273488990478403,0.0288382860858349,0.0312410806284064,0.0312279401569457,0.0322586373747406,0.0336993300124295,0.0335045067312347,0.0324741470033627,0.0307904571447252,0.0308782716812439,0.0353024863544044,0.036333733533691,0.0352416694989932,0.0334607087341534,0.0363380341472563,0.0375418053874729,0.040448568563044,0.03882496060906,0.0391371600866523,0.0385191581972073,0.0373346357359085,0.0356724245369823,0.0357177226720166,0.0351055388035033,0.035665240881221,0.0364512566369572,0.0363834598223771,0.0373166834833347,0.0354637617678481,0.0328549622192595,0.032803886404862,0.0335983049479202
balanced1_eff_rf,WN18RR,0.0125731442409537,0.0163029246551547,0.0067898021004451,0.0080858767055373,0.010232926089692,0.013718150273734,0.0121917019925748,0.0115932456701806,0.0137154684050269,0.0122309364518244,0.0118328902269979,0.0108093935778523,0.0105907573270476,0.0104660365806028,0.0104042749580464,0.0102051882714557,0.0102880856091316,0.0105510351111903,0.0104113396513161,0.0104958915965609,0.010567559670398,0.0108135674293701,0.0105260047224085,0.010568578248719,0.0104613669152864,0.0106601149275737,0.0097631198713894,0.0095280729135784,0.0088172512579991,0.0086547808694299,0.0082831432048893,0.0080156586042732,0.007644918189323,0.0071256719364172,0.006742732590343,0.0062614165593208,0.0059534587052676,0.0056502146791734,0.0054420739833505,0.0052791594124093,0.0050138359528311,0.0048148935304999,0.0045876286688204,0.0043808474293907,0.0041904080876893,0.0041702151666933,0.0043978024331425,0.0043549622809957,0.0044107054515771,0.0041565388272568
