selector,gain_10,gain_20,gain_30,gain_50,gain_100
balanced4_global_rf,0.1088340667536155,0.0742288862338717,0.0570260601728862,0.0392913269777353,0.0212032762748306
balanced5_global_rf,0.1167164286575308,0.0790676103926448,0.0582884427380172,0.0393714170126531,0.0212032762748306
balanced3_max_topk_eff_global_rf,0.0890275320096861,0.0665032652033867,0.0509325596476784,0.0376469717920276,0.0212032762748306
balanced2_syn_topk_global_rf,0.0886400377937372,0.0628009896523329,0.0502880824279705,0.0361421675465532,0.0212032762748307
balanced1_syn_global_rf,0.0594008476779751,0.0491227228913771,0.0396633112924379,0.0320741652352005,0.0212032762748306
balanced1_max_global_rf,0.0535183870257782,0.0397165069593336,0.0360071821391545,0.0329194335152099,0.0212032762748306
balanced1_topk_global_rf,0.037050003074375,0.0256652323402608,0.0227693487430186,0.0194993733309615,0.0212032762748305
balanced1_eff_global_rf,0.0536724095494882,0.0460493384078626,0.040060616919055,0.0313739911923121,0.0212032762748306
balanced4_rf,0.1169080289633946,0.075402882608742,0.0559680143238623,0.0414362895426482,0.0212032762748307
balanced3_syn_topk_eff_rf,0.1046691666335583,0.0696540056240924,0.0527814565140871,0.0405902939715696,0.0212032762748306
balanced2_syn_topk_rf,0.1046714825128394,0.0699190894990582,0.0535348348978252,0.0385033331698135,0.0212032762748306
balanced1_eff_rf,0.0515325664508512,0.0433517154348326,0.0407480095739691,0.0342610273569484,0.0212032762748305
balanced5_global_rf_lodo,0.051406170861524894,0.04372210299652398,0.04130401373499705,0.03472573994039067,0.02120327627483059
balanced5_rf,0.12274322629689675,0.0801729864383011,0.06036615034549569,0.04233078395743165,0.021203276274830714
