selector,insample@10,oof@10,insample@20,oof@20,insample@50,oof@50,delta@10,delta@20,delta@50
balanced4_global_rf,0.1666223570235721,0.1088340667536155,0.0991212633727195,0.0742288862338717,0.0425266947477335,0.0392913269777353,-0.0577882902699565,-0.0248923771388478,-0.0032353677699982
balanced5_global_rf,0.1641807649285153,0.1167164286575308,0.1041517984218715,0.0790676103926448,0.0436686082575676,0.0393714170126531,-0.0474643362709844,-0.0250841880292266,-0.0042971912449144
balanced3_max_topk_eff_global_rf,0.1418126452700868,0.0890275320096861,0.089071693208556,0.0665032652033867,0.0426114047312694,0.0376469717920276,-0.0527851132604006,-0.0225684280051692,-0.0049644329392418
balanced2_syn_topk_global_rf,0.1263987159865868,0.0886400377937372,0.0831026436381554,0.0628009896523329,0.0401498607711003,0.0361421675465532,-0.0377586781928496,-0.0203016539858224,-0.004007693224547
balanced1_syn_global_rf,0.0731910249132644,0.0594008476779751,0.0594516071257202,0.0491227228913771,0.0368351002582925,0.0320741652352005,-0.0137901772352893,-0.0103288842343431,-0.004760935023092
balanced1_max_global_rf,0.072510336519182,0.0535183870257782,0.0545891062248543,0.0397165069593336,0.0383232002621614,0.0329194335152099,-0.0189919494934037,-0.0148725992655207,-0.0054037667469514
balanced1_topk_global_rf,0.0481885297969663,0.037050003074375,0.0397101356638288,0.0256652323402608,0.025853579905399,0.0194993733309615,-0.0111385267225913,-0.014044903323568,-0.0063542065744374
balanced1_eff_global_rf,0.060545970488262,0.0536724095494882,0.0540435219692405,0.0460493384078626,0.037877895156139,0.0313739911923121,-0.0068735609387737,-0.0079941835613778,-0.0065039039638268
balanced4_rf,0.223854256579465,0.1169080289633946,0.140921718118815,0.075402882608742,0.0617203596369487,0.0414362895426482,-0.1069462276160704,-0.0655188355100729,-0.0202840700943005
balanced3_syn_topk_eff_rf,0.1987622686020222,0.1046691666335583,0.1245634866088135,0.0696540056240924,0.0593026476073251,0.0405902939715696,-0.0940931019684639,-0.0549094809847211,-0.0187123536357554
balanced2_syn_topk_rf,0.174159361247006,0.1046714825128394,0.1096586017711273,0.0699190894990582,0.0550310406597192,0.0385033331698135,-0.0694878787341666,-0.039739512272069,-0.0165277074899057
balanced1_eff_rf,0.1203397986068323,0.0515325664508512,0.0908111270466776,0.0433517154348326,0.0536095000118062,0.0342610273569484,-0.0688072321559811,-0.047459411611845,-0.0193484726548578
balanced5_rf,0.2220706792287006,0.12274322629689675,0.1376413271887492,0.0801729864383011,0.0622153861335094,0.04233078395743165,-0.09932745293180385,-0.057468340750448085,-0.01988460217607775
