dataset,aggregation,type_grouping,typed_test_mrr,relation,relation_name,num_test_samples,selected_stage,dependency_weight_source,dominant_rule_type,dominant_rule_support,dominant_rule_weight,dominant_rule_abs_delta,dominant_rule_impact,dominant_dep_type,dominant_dep_support,dominant_dep_weight,dominant_dep_abs_delta,dominant_dep_impact,rule_weight_B,rule_support_B,rule_abs_delta_B,rule_impact_B,rule_weight_U,rule_support_U,rule_abs_delta_U,rule_impact_U,rule_weight_Uc,rule_support_Uc,rule_abs_delta_Uc,rule_impact_Uc,rule_weight_Ud,rule_support_Ud,rule_abs_delta_Ud,rule_impact_Ud,dep_weight_BB,dep_support_BB,dep_abs_delta_BB,dep_impact_BB,dep_weight_BU,dep_support_BU,dep_abs_delta_BU,dep_impact_BU,dep_weight_UU,dep_support_UU,dep_abs_delta_UU,dep_impact_UU,dep_weight_B_Uc,dep_support_B_Uc,dep_abs_delta_B_Uc,dep_impact_B_Uc,dep_weight_B_Ud,dep_support_B_Ud,dep_abs_delta_B_Ud,dep_impact_B_Ud,dep_weight_Uc_Uc,dep_support_Uc_Uc,dep_abs_delta_Uc_Uc,dep_impact_Uc_Uc,dep_weight_Uc_Ud,dep_support_Uc_Ud,dep_abs_delta_Uc_Ud,dep_impact_Uc_Ud,dep_weight_Ud_Ud,dep_support_Ud_Ud,dep_abs_delta_Ud_Ud,dep_impact_Ud_Ud,rule_order_ud_lt_b_lt_uc
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,14,/film/film/language,314,rule_only,trial,U,4827.000000,1.350949,0.350949,6521.031788,BB,6944.000000,1.000000,0.000000,6944.000000,0.647643,839.000000,0.352357,543.372813,1.350949,4827.000000,0.350949,6521.031788,,,,,,,,,1.000000,6944.000000,0.000000,6944.000000,1.000000,472.000000,0.000000,472.000000,1.000000,6401.000000,0.000000,6401.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,15,/location/location/contains,330,dependency,final,U,5504.000000,1.502934,0.502934,8272.146534,UU,18393.000000,0.965517,0.034483,17758.754181,1.274445,3284.000000,0.274445,4185.278694,1.502934,5504.000000,0.502934,8272.146534,,,,,,,,,0.968921,1158.000000,0.031079,1122.011097,0.964192,49.000000,0.035808,47.245403,0.965517,18393.000000,0.034483,17758.754181,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,16,/organization/organization/headquarters./location/mailing_address/country,7,dependency,final,B,412.000000,0.689140,0.310860,283.925556,BB,1354.000000,1.011995,0.011995,1370.240824,0.689140,412.000000,0.310860,283.925556,0.924697,168.000000,0.075303,155.349046,,,,,,,,,1.011995,1354.000000,0.011995,1370.240824,1.027189,20.000000,0.027189,20.543788,1.013989,659.000000,0.013989,668.218949,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,17,/people/person/profession,1311,rule_only,trial,U,22379.000000,1.373685,0.373685,30741.687663,UU,12941.000000,1.000000,0.000000,12941.000000,0.641439,936.000000,0.358561,600.387185,1.373685,22379.000000,0.373685,30741.687663,,,,,,,,,1.000000,11488.000000,0.000000,11488.000000,1.000000,3613.000000,0.000000,3613.000000,1.000000,12941.000000,0.000000,12941.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,18,/location/statistical_region/religions./location/religion_percentage/religion,60,rule_only,trial,U,4718.000000,0.608626,0.391374,2871.498412,UU,12389.000000,1.000000,0.000000,12389.000000,0.618215,163.000000,0.381785,100.769061,0.608626,4718.000000,0.391374,2871.498412,,,,,,,,,1.000000,3477.000000,0.000000,3477.000000,1.000000,3658.000000,0.000000,3658.000000,1.000000,12389.000000,0.000000,12389.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,19,/award/award_nominee/award_nominations./award/award_nomination/award,1067,dependency,final,U,48922.000000,1.329601,0.329601,65046.759691,UU,50396.000000,1.148311,0.148311,57870.306354,0.854391,1476.000000,0.145609,1261.081264,1.329601,48922.000000,0.329601,65046.759691,,,,,,,,,1.069198,16036.000000,0.069198,17145.651110,1.143399,31382.000000,0.143399,35882.134865,1.148311,50396.000000,0.148311,57870.306354,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,20,/music/genre/artists,664,dependency,final,U,17362.000000,1.103777,0.103777,19163.774538,BB,23988.000000,1.064841,0.064841,25543.401110,0.810442,412.000000,0.189558,333.901898,1.103777,17362.000000,0.103777,19163.774538,,,,,,,,,1.064841,23988.000000,0.064841,25543.401110,1.044916,9346.000000,0.044916,9765.787740,1.047970,9579.000000,0.047970,10038.509419,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,21,/influence/influence_node/influenced_by,235,dependency,final,U,3291.000000,2.359588,1.359588,7765.405424,BB,292.000000,1.000000,0.000000,292.000000,1.513107,232.000000,0.513107,351.040847,2.359588,3291.000000,1.359588,7765.405424,,,,,,,,,1.000000,292.000000,0.000000,292.000000,1.000000,269.000000,0.000000,269.000000,1.000000,131.000000,0.000000,131.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,22,/education/educational_institution/students_graduates./education/education/student,311,dependency,final,U,2285.000000,2.222818,1.222818,5079.138444,UU,63.000000,0.982807,0.017193,61.916822,1.346074,249.000000,0.346074,335.172351,2.222818,2285.000000,1.222818,5079.138444,,,,,,,,,,,,,,,,,0.982807,63.000000,0.017193,61.916822,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,23,/organization/organization_member/member_of./organization/organization_membership/organization,96,dependency,final,U,7016.000000,0.600967,0.399033,4216.383770,UU,16645.000000,1.000389,0.000389,16651.469912,0.592781,356.000000,0.407219,211.029894,0.600967,7016.000000,0.399033,4216.383770,,,,,,,,,0.998657,4850.000000,0.001343,4843.488875,0.998250,609.000000,0.001750,607.934433,1.000389,16645.000000,0.000389,16651.469912,,,,,,,,,,,,,,,,,,,,,
