dataset,#entity,#relation,#train,#valid,#test,#rule,#B_rule,#Uc_rule,#Ud_rule,#Z_rule,#synergy,#redundancy,#filtered_synergy,#filtered_redundancy,rules_per_relation,raw_dependency_total,filtered_dependency_total,raw_dep_per_rule,filtered_dep_per_rule,B_rule_ratio,Uc_rule_ratio,Ud_rule_ratio,Z_rule_ratio,#filtered_synergy_BB,#filtered_synergy_BU,#filtered_synergy_UU,#filtered_synergy_B_B,#filtered_synergy_B_Uc,#filtered_synergy_B_Ud,#filtered_synergy_Uc_Uc,#filtered_synergy_Uc_Ud,#filtered_synergy_Ud_Ud,#filtered_redundancy_BB,#filtered_redundancy_BU,#filtered_redundancy_UU,#filtered_redundancy_B_B,#filtered_redundancy_B_Uc,#filtered_redundancy_B_Ud,#filtered_redundancy_Uc_Uc,#filtered_redundancy_Uc_Ud,#filtered_redundancy_Ud_Ud
KG20C,16362,5,48213,3670,3724,154790,56,132224,22466,44,273752,1942,166721,1594,30958.000000,275694,168315,1.781084,1.087376,0.000362,0.854215,0.145139,0.000284,42,16204,150475,42,16204,0,150405,70,0,0,417,1177,0,417,0,1172,5,0
codex-m,17050,51,185584,10310,10311,518279,5400,474579,38030,270,1055428,1578683,463459,419748,10162.333333,2634111,883207,5.082419,1.704115,0.010419,0.915682,0.073377,0.000521,49982,101385,312092,49982,101385,0,293008,18179,905,607,89784,329357,607,89784,0,326354,2831,172
WN18RR,40943,11,86835,3034,3134,76909,8781,55510,12588,30,66289,14745,32227,12985,6991.727273,81034,45212,1.053635,0.587864,0.114174,0.721762,0.163674,0.000390,18913,12783,531,18913,12783,0,434,96,1,59,11155,1771,59,11155,0,1762,9,0
FB15k-237,14541,237,272115,17535,20466,1737378,85209,1398534,253307,328,3021796,9908013,1453172,2493217,7330.708861,12929809,3946389,7.442139,2.271463,0.049045,0.804968,0.145798,0.000189,595918,323106,534148,595918,323106,0,438490,80324,15334,40300,548772,1904145,40300,548772,0,1860750,37838,5557
codex-l,77951,69,551193,30622,30622,273472,7174,215907,49811,580,542853,1169530,248326,207004,3963.362319,1712383,455330,6.261639,1.664997,0.026233,0.789503,0.182143,0.002121,69532,85773,93021,69532,85773,0,78363,13830,828,854,45336,160814,854,45336,0,159226,1520,68
YAGO3-10,123182,37,1079040,5000,5000,990481,3546,862039,122664,2232,2476220,1527581,887353,819806,26769.756757,4003801,1707159,4.042279,1.723566,0.003580,0.870324,0.123843,0.002253,23340,176657,687356,23340,176657,0,679068,7826,462,668,577781,241357,668,577781,0,239605,1664,88
hetionet,45158,24,1800157,225020,225020,6103910,2334,5717392,379244,4940,24410345,18865199,4480693,2673911,254329.583333,43275544,7154604,7.089807,1.172135,0.000382,0.936677,0.062131,0.000809,55925,327866,4096902,55925,327866,0,4091643,5256,3,0,788175,1885736,0,788175,0,1872564,12989,183
