bucket,num_relations,positive_ratio,negative_ratio,avg_rel_gain_pct,median_rel_gain_pct,avg_baseline_stage1_mrr,avg_dep_per_rule
Q1,107,0.121495,0.242991,0.487893,0.000000,0.231909,0.053675
Q2,106,0.245283,0.207547,2.365222,0.327856,0.339890,0.377675
Q3,106,0.235849,0.245283,2.551615,0.032347,0.415959,1.592216
Q4,106,0.235849,0.264151,1.882906,0.000000,0.454244,3.161529
