group,num_relations,selected_dependency_ratio,avg_baseline_stage1_mrr,median_baseline_stage1_mrr,avg_rel_gain_pct,median_rel_gain_pct,avg_dep_per_rule,median_dep_per_rule,avg_filtered_dep_per_rule,avg_B_ratio,avg_Uc_ratio,avg_Ud_ratio,avg_test_triple_count
positive,89,0.741573,0.306517,0.261812,9.989239,7.105249,1.467990,1.169291,1.467990,0.166975,0.540927,0.291496,177.820225
neutral,234,0.350427,0.367426,0.357612,0.528326,0.000000,1.187011,0.534116,1.187011,0.222817,0.535500,0.240766,734.311966
negative,102,0.715686,0.390457,0.371642,-2.349932,-1.115632,1.384922,1.059019,1.384922,0.154955,0.586602,0.257465,1084.509804
