bucket,num_relations,positive_ratio,negative_ratio,avg_rel_gain_pct,median_rel_gain_pct,avg_baseline_stage1_mrr,avg_dep_per_rule
"[0.0,0.2)",117,0.247863,0.153846,2.084739,0.000000,0.098115,0.658050
"[0.2,0.4)",137,0.284672,0.284672,3.234253,0.412697,0.298917,1.221055
"[0.4,0.6)",109,0.119266,0.275229,0.857023,0.000000,0.488888,1.753391
"[0.6,1.0]",62,0.129032,0.241935,-0.120086,0.000000,0.763941,1.843188
