selector,gain_10,gain_20,gain_50
comp1,0.0668587647757295,0.051778852453663156,0.03658219092405103
comp1+rule1,0.11990210500855802,0.07500063223497386,0.04087733541658783
comp3,0.07889312122182342,0.06005609844533434,0.03590809897828039
comp3+rule3,0.12258306867594097,0.08541606014635837,0.04102588887930606
comp5,0.07319102491326442,0.05945160712572022,0.03683510025829254
comp5+rule5,0.13091284391000163,0.08409474739451205,0.04042271633195761
ratio1,0.0999111709355689,0.06581646338941856,0.03897716280461088
ratio3,0.10770984432086779,0.07353845024975467,0.038261890214879725
ratio5,0.09189473512386336,0.06455406796467347,0.03919355395087752
rule1,0.03713167161490273,0.03057869160641702,0.025823122125577008
rule3,0.048188529796966355,0.03971013566382885,0.025853579905399098
rule5,0.06427186014324075,0.043639604768586686,0.0266010879674262
