feature,sort_direction,macro_gain_pt,macro_delta_mrr,min_dataset_gain_pt,max_dataset_gain_pt,positive_dataset_count,coverage,rank
stage1_top_margin,asc,0.021075337311662334,0.0055810384035766035,0.0031714447541986157,0.049051411485502516,6,0.1,67
synergy_weight_top10_mean,asc,0.02089548785651189,0.004940098156856605,0.0,0.07305121090269506,5,0.1,68
synergy_weight_mean,desc,0.02076994216029125,0.008298786755410362,-0.013676218098379267,0.03613521528137009,5,0.1,69
synergy_weight_top5_sum,asc,0.020749304957774866,0.004713124898146515,0.0,0.06807312753983052,5,0.1,70
synergy_weight_top3_sum,asc,0.020705663726407624,0.0047377934751722155,0.0,0.0693319639763641,5,0.1,71
avg_candidate_dep_score,desc,0.020442349377951457,0.005462896433362563,0.003814677441087211,0.0572708061084346,6,0.1,72
synergy_weight_top10_sum,asc,0.01959764638961285,0.005550090047447581,0.0,0.047049324001805726,5,0.1,73
rule_weight_max,desc,0.018899751891854073,0.00644351567482541,0.0,0.04673244160303347,5,0.1,74
rule_weight_top1_mean,desc,0.018899751891854073,0.00644351567482541,0.0,0.04673244160303347,5,0.1,75
rule_weight_top1_sum,desc,0.018899751891854073,0.00644351567482541,0.0,0.04673244160303347,5,0.1,76
combo_low_rule_confidence,asc,0.018734351125063792,0.006337418712057573,0.0,0.047447944984083223,5,0.1,77
sum_positive_dep,asc,0.017722693337336375,0.004105342340493885,0.0,0.061147248398520926,5,0.1,78
redundancy_weight_top10_sum,asc,0.01735788172126936,0.00451796789086618,0.0,0.0373820480307927,5,0.1,79
avg_positive_dep,asc,0.017321677757050513,0.004045493143439656,0.0,0.061147248398520926,5,0.1,80
redundancy_weight_top5_sum,asc,0.017266187472753918,0.004482984872887026,0.0,0.0373820480307927,5,0.1,81
redundancy_weight_top10_mean,asc,0.017177053662979908,0.004813050494186927,0.0,0.0373820480307927,5,0.1,82
rule_weight_mean,asc,0.016877977393954986,0.003626463404145954,0.0005551742930474113,0.051529790574714296,6,0.1,83
max_positive_dep,asc,0.016534733396971795,0.004030199499851885,0.0,0.0556881259248303,5,0.1,84
