dataset,feature,sort_direction,full_gain_pt,best_coverage_ge_20,best_n,best_threshold,best_mrr_stage1,best_mrr_stage2,best_delta_mrr,best_gain_pt,gain_lift_vs_full
FB15k-237,redundancy_weight_top3_sum,asc,0.010000388562700024,1.0,40819,3.0172,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,redundancy_weight_top5_mean,asc,0.010000388562700024,1.0,40819,0.962406,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,redundancy_weight_top5_sum,asc,0.010000388562700024,1.0,40819,4.81203,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,topk_redundancy,asc,0.010000388562700024,1.0,40819,1.0057333333333334,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,unique_redundancy_edges,asc,0.010000388562700024,1.0,40819,369.0,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,avg_positive_dep,asc,0.01000038856269847,1.0,40819,1516.7358490566037,0.35210727177438994,0.3556284813078855,0.0035212095334955507,0.01000038856269847,0.0
FB15k-237,max_positive_dep,asc,0.01000038856269847,1.0,40819,5213.0,0.35210727177438994,0.3556284813078855,0.0035212095334955507,0.01000038856269847,0.0
FB15k-237,sum_positive_dep,asc,0.01000038856269847,1.0,40819,160774.0,0.35210727177438994,0.3556284813078855,0.0035212095334955507,0.01000038856269847,0.0
FB15k-237,avg_negative_dep,asc,0.010000388562698248,1.0,40819,1353.0,0.3521072717743959,0.35562848130789143,0.0035212095334955507,0.010000388562698248,0.0
FB15k-237,abs_dep_mass,asc,0.010000388562698026,1.0,40819,457.80523,0.3521072717743947,0.35562848130789015,0.0035212095334954396,0.010000388562698026,0.0
FB15k-237,sum_negative_dep,asc,0.010000388562697582,1.0,40819,115087.0,0.35210727177439544,0.35562848130789076,0.0035212095334953286,0.010000388562697582,0.0
FB15k-237,avg_candidate_dep_score,desc,0.01000038856268426,1.0,40819,-19.125658899999983,0.3521072717743884,0.35562848130787894,0.0035212095334905547,0.01000038856268426,0.0
