bin,head_atom_count
1,911
2-3,1729
4-7,2635
8-15,3300
16-31,3685
32-63,3246
64-127,3237
128-255,1488
256-511,809
512-1023,796
1024-2047,24
2048-4095,8
4096-8191,4
