selector,gain_10,gain_20,gain_30,gain_50,gain_100
balanced4_rf,0.22385425657946506,0.14092171811881507,0.09941819904759444,0.06172035963694879,0.02120327627483078
balanced4_global_rf,0.16662235702357214,0.09912126337271958,0.0699630704319404,0.04252669474773353,0.021203276274830683
balanced5_rf,0.22207067922870066,0.1376413271887492,0.09887779678275242,0.06221538613350942,0.02120327627483062
balanced5_global_rf,0.16418076492851533,0.10415179842187154,0.0719114545853228,0.043668608257567625,0.02120327627483065
synergy_weight_top5_mean,0.10602208471402179,0.0817464314793426,0.06119299469003,0.04430156297133674,0.021203276274830683
max_candidate_dep_score,0.11545652403225258,0.07906472895610582,0.058945430110671736,0.04365266595969307,0.021203276274830683
topk_rule_weight,0.11091259624983353,0.08697783036464564,0.0708472890459965,0.04780282473309384,0.02120327627483065
effective_candidates,0.11805811476299269,0.0888636015263725,0.07503503687449468,0.053520771858339575,0.021203276274830714
