dataset,source_group,config_id,config_label,stage_or_source,label,status,mrr,h1,h10,completed_relations,total_relations,path
codex-m,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage1,aggregation stage1,done,0.340449,0.272282,0.475609,51,51,data/codex-m/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
codex-m,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage2,aggregation stage2,done,0.335609,0.267336,0.470323,51,51,data/codex-m/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
codex-m,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage1,aggregation stage1,done,0.340449,0.272282,0.475609,51,51,data/codex-m/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
codex-m,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage2,aggregation stage2,done,0.334068,0.265736,0.467753,51,51,data/codex-m/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
codex-m,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage1,aggregation stage1,done,0.339785,0.269276,0.478712,51,51,data/codex-m/aggregation/exp-1_LinearAggregator_1_0_1_auto_ratio_1_1_0
codex-m,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage2,aggregation stage2,done,0.342314,0.271361,0.482931,51,51,data/codex-m/aggregation/exp-1_LinearAggregator_1_0_1_auto_ratio_1_1_0
WN18RR,application,,,app_rules_maxplus,rules + maxplus,done,0.482515,0.447671,0.552808,,,data/WN18RR/application/eval-maxplus.log
WN18RR,application,,,app_rules_noisyor,rules + noisyor,done,0.482057,0.445118,0.558551,,,data/WN18RR/application/eval-noisyor.log
WN18RR,application,,,app_base_ranker_maxplus,base ranker + maxplus,done,0.465257,0.432195,0.531589,,,data/WN18RR/application/eval_base_ranker_maxplus.log
WN18RR,application,,,app_base_ranker_noisyor,base ranker + noisyor,done,0.471740,0.436343,0.543076,,,data/WN18RR/application/eval_base_ranker_noisyor.log
WN18RR,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage1,aggregation stage1,done,0.470921,0.430121,0.540523,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
WN18RR,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage2,aggregation stage2,done,0.470843,0.429802,0.541321,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
WN18RR,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage1,aggregation stage1,done,0.470921,0.430121,0.540523,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
WN18RR,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage2,aggregation stage2,done,0.470748,0.429802,0.541161,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
