dataset,experiment,group,source_dir,metric_source,mrr,h@1,h@10,mrr_raw,h@1_raw,h@10_raw,time_train,time_valid,time_total,time_load_dataloaders,time_other,time_sweep,num_relations,total_test_triples_used_for_weight
FB15k-237,R,baseline,structural_rd,test_after_stage1,0.34403,0.25770,0.51676,0.33940,0.25283,0.50840,551.97304,494.75588,2075.35110,144.06892,884.55326,1473.74130,237,20466
FB15k-237,R2,baseline,structural_r2d3,test_after_stage1,0.34711,0.26077,0.52038,0.34572,0.25916,0.51747,9835.49419,1749.67521,13552.56361,131.08990,1836.30431,7207.66697,237,20466
FB15k-237,R3,baseline,structural_r3d6,test_after_stage1,0.34791,0.26168,0.52174,0.34532,0.25901,0.51732,10235.97696,1864.83311,14094.25429,130.00436,1863.43985,7481.25966,237,20466
FB15k-237,rd,stage2,structural_rd,test_after_stage2,0.34761,0.26214,0.51564,0.33784,0.25308,0.49993,551.97304,494.75588,2075.35110,144.06892,884.55326,1473.74130,237,20466
FB15k-237,r2d3,stage2,structural_r2d3,test_after_stage2,0.35066,0.26561,0.51937,0.34385,0.26002,0.50711,9835.49419,1749.67521,13552.56361,131.08990,1836.30431,7207.66697,237,20466
FB15k-237,r3d6,stage2,structural_r3d6,test_after_stage2,0.35075,0.26564,0.52062,0.34377,0.25945,0.50936,10235.97696,1864.83311,14094.25429,130.00436,1863.43985,7481.25966,237,20466
FB15k-237,synergy,stage2,synergy,test_after_stage2,0.34677,0.26141,0.51764,0.33943,0.25581,0.50151,519.24134,656.16166,2420.06076,165.26646,1079.39130,1696.92881,237,20466
FB15k-237,redundancy,stage2,redundancy,test_after_stage2,0.34674,0.26080,0.51847,0.33945,0.25327,0.50860,499.31689,676.21535,2292.95454,178.86841,938.55389,1665.67678,237,20466
FB15k-237,sign_constraint_dependency,stage2,sign_constraint_dependency,test_after_stage2,0.33588,0.25288,0.50354,0.32028,0.23935,0.48165,601.67313,751.73523,3190.92261,183.00823,1654.50602,2143.10508,237,20466
FB15k-237,init_dep_with_lift,stage2,init_dep_with_lift,test_after_stage2,0.33167,0.24805,0.49585,0.29955,0.21548,0.46269,537.59911,726.98544,3045.67643,189.50196,1591.58992,2078.17659,237,20466
