dataset,aggregation,MRR,h@1,h@10,time
FB15k-237,eval-maxplus,0.329486,0.244747,0.502614,
FB15k-237,eval-noisyor,0.337685,0.252468,0.506743,
FB15k-237,init_dep_with_lift,0.330619,0.246409,0.495431,5679.376714
FB15k-237,pos_auto_ratio,0.350906,0.263241,0.528608,5669.422934
FB15k-237,redundancy,0.347210,0.261165,0.518372,5243.426157
FB15k-237,sign_constraint_dependency,0.334086,0.250831,0.500195,5759.662819
FB15k-237,structural_dep_scale,0.349468,0.263046,0.521328,5913.863208
FB15k-237,structural_none,0.348228,0.262215,0.518103,5648.632215
FB15k-237,structural_none__stage1,0.345429,0.259210,0.517981,5648.632215
FB15k-237,structural_r2d3,0.351555,0.266393,0.520766,6071.763755
FB15k-237,structural_r2d3__stage1,0.350036,0.263926,0.523527,6071.763755
FB15k-237,structural_r3d6,0.351437,0.265733,0.521035,5967.560018
FB15k-237,structural_r3d6__stage1,0.349652,0.263266,0.522574,5967.560018
FB15k-237,structural_rd,0.344174,0.257525,0.515220,5728.311696
FB15k-237,structural_rd__stage1,0.350534,0.264097,0.523942,5728.311696
FB15k-237,structural_rule_mask,0.347743,0.261067,0.519936,5629.124983
FB15k-237,structural_surprisal_init,0.348360,0.262386,0.518861,5697.530903
FB15k-237,synergy,0.348182,0.262142,0.520497,4854.081836
FB15k-237,ensemble_best_valid_stage2,0.358647,0.272544,0.532044,10689.296324
KG20C,eval-maxplus,0.214810,0.142857,0.360768,
KG20C,eval-noisyor,0.229772,0.156686,0.375940,
KG20C,init_dep_with_lift,0.233655,0.160043,0.374329,468.560880
KG20C,pos_auto_ratio,0.233439,0.161386,0.373523,474.246773
KG20C,redundancy,0.229664,0.156821,0.372449,446.079106
KG20C,sign_constraint_dependency,0.233496,0.159640,0.375940,478.176150
KG20C,structural_dep_scale,0.232600,0.159640,0.371778,429.223935
KG20C,structural_none,0.232779,0.159909,0.371241,404.645360
KG20C,structural_none__stage1,0.228299,0.155344,0.368287,404.645360
KG20C,structural_r2d3,0.227091,0.155478,0.368018,403.597371
KG20C,structural_r2d3__stage1,0.226728,0.154270,0.367213,403.597371
KG20C,structural_r3d6,0.228288,0.156418,0.368824,405.288557
KG20C,structural_r3d6__stage1,0.227693,0.154672,0.368555,405.288557
KG20C,structural_rd,0.227670,0.156686,0.367884,417.785703
KG20C,structural_rd__stage1,0.227177,0.154538,0.368690,417.785703
KG20C,structural_rule_mask,0.232842,0.159237,0.373926,430.538181
KG20C,structural_surprisal_init,0.231997,0.158432,0.373255,412.103962
KG20C,synergy,0.232885,0.159909,0.371643,399.346530
KG20C,ensemble_best_valid_stage2,0.235219,0.160849,0.378088,855.676603
WN18RR,eval-maxplus,0.496968,0.457722,0.574027,
WN18RR,eval-noisyor,0.459271,0.406669,0.567326,
WN18RR,init_dep_with_lift,0.500869,0.457403,0.584397,1077.128721
WN18RR,pos_auto_ratio,0.499556,0.455329,0.583440,979.408117
WN18RR,redundancy,0.499462,0.455329,0.585035,1065.547625
WN18RR,sign_constraint_dependency,0.499512,0.455169,0.585673,1041.669318
WN18RR,structural_dep_scale,0.499873,0.455010,0.585833,1179.619599
WN18RR,structural_none,0.500535,0.457243,0.583599,1359.727033
WN18RR,structural_none__stage1,0.499158,0.455169,0.584078,1359.727033
WN18RR,structural_r2d3,0.499230,0.456445,0.580728,1398.167802
WN18RR,structural_r2d3__stage1,0.498380,0.456286,0.580568,1398.167802
WN18RR,structural_r3d6,0.499178,0.456445,0.581844,1295.944068
WN18RR,structural_r3d6__stage1,0.498278,0.455967,0.581525,1295.944068
WN18RR,structural_rd,0.502189,0.459636,0.583918,1288.072715
WN18RR,structural_rd__stage1,0.499477,0.456924,0.583599,1288.072715
WN18RR,structural_rule_mask,0.500666,0.457722,0.584237,1223.667783
WN18RR,structural_surprisal_init,0.500205,0.456924,0.582482,1198.272740
WN18RR,synergy,0.499568,0.455807,0.583121,1291.481794
WN18RR,ensemble_best_valid_stage2,0.499372,0.454807,0.584797,2344.792617
YAGO3-10,eval-maxplus,,,,
