bucket,num_relations,positive_ratio,negative_ratio,avg_rel_gain_pct,median_rel_gain_pct,avg_stage1_mrr,avg_dep_per_rule
Q1,107.00000,0.04673,0.01869,0.28126,0.00000,0.23254,0.05368
Q2,106.00000,0.11321,0.00000,1.31312,0.00000,0.33994,0.37767
Q3,106.00000,0.09434,0.03774,1.04774,0.00000,0.41852,1.59222
Q4,106.00000,0.08491,0.04717,0.62845,0.00000,0.45568,3.16153
