dataset,best_config_id,best_config_label,best_stage2_mrr,overall_gain,num_relations,num_positive_gain_relations,num_non_positive_gain_relations,spearman_num_triples,spearman_num_objects,spearman_avg_tails_per_sp,spearman_num_rules,spearman_num_deps,spearman_dep_per_rule,positive_avg_num_triples,non_positive_avg_num_triples,positive_avg_avg_tails_per_sp,non_positive_avg_avg_tails_per_sp,positive_avg_dep_per_rule,non_positive_avg_dep_per_rule,oracle_topn,oracle_gain,oracle_gain_ratio,oracle_coverage,oracle_min_coverage_required,density_ranking,density_topn,density_gain,density_gain_ratio,density_coverage,subset_ratio_dependency_friendly_train_only,subset_ratio_dependency_friendly_moderate_dense,subset_ratio_dependency_friendly_high_dependency_dense,subset_ratio_dependency_friendly_static_union,oracle_subset_avg_num_triples,all_avg_num_triples,oracle_subset_avg_avg_tails_per_sp,all_avg_avg_tails_per_sp,oracle_subset_avg_dep_per_rule,all_avg_dep_per_rule,oracle_subset_avg_num_deps,all_avg_num_deps
KG20C,cfg_auto_ratio,synergy + redundancy | auto_ratio,0.213856,0.002672,5,4,1,0.300000,-0.200000,0.600000,0.700000,0.900000,0.900000,8937.000000,12465.000000,2.085366,1.535288,0.048930,0.020394,1,0.005995,2.243661,0.388292,0.050000,top_train,1,0.005995,2.243661,0.388292,0.000703,,,,17776.000000,9642.600000,3.611540,1.975350,0.067172,0.043223,1346.000000,434.200000
codex-m,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,0.342837,0.002388,46,20,26,0.392964,0.104784,0.142978,0.315099,0.324497,0.241114,7551.400000,1328.769231,1.768493,2.468762,0.631646,0.680152,5,0.008817,3.691942,0.115896,0.050000,low_avg_tails,5,0.004223,1.768458,0.060227,1.751385,1.490197,0.524914,1.245626,4383.600000,4034.260870,1.222572,2.164297,0.993678,0.659062,1882.800000,18767.304348
WN18RR,cfg_auto_ratio,synergy + redundancy | auto_ratio,0.471935,0.001385,11,3,8,-0.143019,-0.028604,0.390920,-0.076277,-0.333712,-0.333712,5046.333333,8962.000000,2.003630,5.151586,0.055445,0.078637,1,0.015057,10.868548,0.080728,0.050000,top_avg_tails,4,0.008580,6.193404,0.151563,1.791853,-0.056300,,-0.056300,7402.000000,7894.090909,2.391599,4.293053,0.027091,0.072312,23.000000,148.090909
FB15k-237,cfg_auto_ratio,synergy + redundancy | auto_ratio,0.349374,0.002992,237,96,141,0.133247,-0.043046,-0.070179,0.092473,0.113884,0.169156,1454.843750,939.361702,6.395294,7.389770,1.884204,1.469607,16,0.028615,9.564595,0.058390,0.050000,score_support_compact,5,0.008300,2.774166,0.177221,-0.081101,1.170043,1.298986,1.239475,1381.125000,1148.164557,5.703904,6.986944,2.204383,1.637545,27021.312500,16179.881857
codex-l,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,0.333180,0.002702,64,26,38,0.308994,0.319508,0.177999,0.273458,0.153786,0.013945,16349.346154,3318.078947,1.600766,2.096945,0.368527,0.615325,8,0.009473,3.505290,0.058165,0.050000,top_train,1,0.005385,1.992707,0.307838,0.306976,0.648028,-0.411790,0.600974,4045.375000,8612.031250,1.232379,1.895372,0.586039,0.515063,915.250000,6903.531250
YAGO3-10,cfg_synergy_only,synergy only | auto_sqrt,0.573592,0.003609,37,16,21,0.179115,0.281325,0.223290,0.186230,0.223293,0.199983,53115.687500,10913.761905,3.832707,3.192530,0.637986,0.537896,5,0.019482,5.398726,0.025400,0.020000,top_train,1,0.005820,1.612808,0.334600,1.165754,0.405960,-0.234340,0.196914,5315.800000,29163.243243,3.868748,3.469363,0.991621,0.581178,3260.000000,23791.756757
