dataset,best_config,best_config_mrr,structural_none,structural_rd,structural_r2d3,structural_r3d6,canonical,ensemble_best_valid,ensemble_safe_valid,ensemble_best_test,eval-maxplus,eval-noisyor
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.233952,0.232779,0.227670,0.227091,0.228288,0.239401,0.235725,,0.239769,0.214810,0.229772
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.344803,0.342474,0.342537,0.342941,0.343299,0.345537,0.346569,,0.349667,0.319487,0.300655
WN18RR,structural_rd,0.502189,0.500535,0.502189,0.499230,0.499178,0.499500,0.500511,,0.503990,0.496968,0.459271
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0.355348,0.348228,0.344174,0.351555,0.351437,0.353919,0.357476,,0.362664,0.329486,0.337685
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.334178,0.333535,0.332875,0.331684,0.331726,0.331778,0.334810,,0.336508,0.311458,0.302914
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.578974,0.575377,0.573780,0.576659,0.568721,0.573990,0.578353,,0.582268,0.554384,0.529551
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.390256,0.362111,0.364354,0.369847,0.368801,,0.395001,,0.395569,0.350685,0.302653
