selector,dataset,coverage,feature,n,min,q25,median,q75,max,mean
balanced5_global_rf,global,0.1,synergy_weight_top5_mean,59606,0.0,5.207338,5.464196,5.550072,5.578564,5.202567572257827
balanced5_global_rf,global,0.1,max_candidate_dep_score,59606,-1.8799525,0.0,0.0046628976049227,0.0186027403040912,4.100602199999997,0.020563087702374472
balanced5_global_rf,global,0.1,topk_rule_weight,59606,0.0896900919009644,1.244792699780629,1.5391605008363056,1.6659116311383808,3.064725145040943,1.4352620730580683
balanced5_global_rf,global,0.1,num_neg_dep,59606,0.0,5.0,26.0,46.0,313.0,32.00246619467839
balanced5_global_rf,global,0.1,effective_candidates,59606,96.62284462972872,101.23603416701953,104.48827087294782,110.012611006732,191.5851097117101,110.2855174177911
balanced5_global_rf,global,0.2,synergy_weight_top5_mean,119212,0.0,3.3723555,5.327342,5.550072,5.578564,4.5446298413960005
balanced5_global_rf,global,0.2,max_candidate_dep_score,119212,-1.8852595,0.0,0.0024128557477054,0.0195949413258678,4.762381899999983,0.04539778563403613
balanced5_global_rf,global,0.2,topk_rule_weight,119212,0.0520101135123914,1.3217558399823193,1.574445678141208,1.6982753798392567,3.634291263829534,1.453965419583249
balanced5_global_rf,global,0.2,num_neg_dep,119212,0.0,8.0,27.0,49.0,369.0,35.10289232627588
balanced5_global_rf,global,0.2,effective_candidates,119212,1.999732729464271,100.77678729847938,105.09694652501398,115.20686742251851,191.5851097117101,112.17573244586062
balanced5_global_rf,global,0.5,synergy_weight_top5_mean,298030,0.0,0.103912,2.709256,5.203052,5.578564,2.6632900245081594
balanced5_global_rf,global,0.5,max_candidate_dep_score,298030,-1.8852595,0.0,0.000497895,0.0156106834161137,6.011376100000017,0.03394178324696728
balanced5_global_rf,global,0.5,topk_rule_weight,298030,0.0398561398154498,1.031226869159013,1.5008611990709968,1.635768866416594,3.634291263829534,1.3293239614215013
balanced5_global_rf,global,0.5,num_neg_dep,298030,0.0,0.0,10.0,36.0,500.0,23.928446800657653
balanced5_global_rf,global,0.5,effective_candidates,298030,1.0,99.99225434797084,101.96418876563848,109.7890635329044,198.8493639037147,109.27107392223517
balanced5_global_rf,FB15k-237,0.1,synergy_weight_top5_mean,4082,0.0,0.574692,1.075418,1.386388,2.352808,0.9860729334884859
balanced5_global_rf,FB15k-237,0.1,max_candidate_dep_score,4082,-0.9572362000000002,0.1942550999999999,0.5293455,0.8811235000000001,4.762381899999983,0.6423132976727093
balanced5_global_rf,FB15k-237,0.1,topk_rule_weight,4082,0.0974344503854056,0.620984734311715,1.1195085713945223,1.3862943611198906,2.024432172826236,1.073227560729164
balanced5_global_rf,FB15k-237,0.1,num_neg_dep,4082,0.0,6.0,30.0,105.0,369.0,76.91474767270945
balanced5_global_rf,FB15k-237,0.1,effective_candidates,4082,3.9329494035769232,99.94113411607529,102.5611241501647,110.35697523282336,165.96783336299018,110.96224826902358
balanced5_global_rf,FB15k-237,0.2,synergy_weight_top5_mean,8164,0.0,0.485812,0.998176,1.337778,2.352808,0.9203065130654908
balanced5_global_rf,FB15k-237,0.2,max_candidate_dep_score,8164,-0.9572362000000002,0.06165904999999985,0.4006649,0.7673936250000002,4.762381899999983,0.5187131925281724
