selector,dataset,feature,std_coef,intercept
balanced5_ridge,FB15k-237,synergy_weight_top5_mean,0.01590788188707411,0.019022880054674726
balanced5_ridge,FB15k-237,max_candidate_dep_score,0.007874780014920393,0.019022880054674726
balanced5_ridge,FB15k-237,topk_rule_weight,-0.003653662777713626,0.019022880054674726
balanced5_ridge,FB15k-237,num_neg_dep,0.010195447939075867,0.019022880054674726
balanced5_ridge,FB15k-237,effective_candidates,0.001564540270393159,0.019022880054674726
balanced5_ridge,KG20C,synergy_weight_top5_mean,0.01183879591633845,0.05274682941539714
balanced5_ridge,KG20C,max_candidate_dep_score,0.0018112180494735891,0.05274682941539714
balanced5_ridge,KG20C,topk_rule_weight,-0.010305019245276409,0.05274682941539714
balanced5_ridge,KG20C,num_neg_dep,0.0011437260903320648,0.05274682941539714
balanced5_ridge,KG20C,effective_candidates,0.008524664580715593,0.05274682941539714
balanced5_ridge,WN18RR,synergy_weight_top5_mean,0.0014252894693208428,0.010704164251929363
balanced5_ridge,WN18RR,max_candidate_dep_score,0.010009862164237876,0.010704164251929363
balanced5_ridge,WN18RR,topk_rule_weight,-0.005025279332406665,0.010704164251929363
balanced5_ridge,WN18RR,num_neg_dep,0.001181831601018444,0.010704164251929363
balanced5_ridge,WN18RR,effective_candidates,0.0007615083688166886,0.010704164251929363
balanced5_ridge,YAGO3-10,synergy_weight_top5_mean,0.03971646272690897,0.07257596865948159
balanced5_ridge,YAGO3-10,max_candidate_dep_score,0.01756224508389775,0.07257596865948159
balanced5_ridge,YAGO3-10,topk_rule_weight,-0.018893979284222318,0.07257596865948159
balanced5_ridge,YAGO3-10,num_neg_dep,0.01935607101642182,0.07257596865948159
balanced5_ridge,YAGO3-10,effective_candidates,-0.005767014415450177,0.07257596865948159
balanced5_ridge,codex-l,synergy_weight_top5_mean,0.014558822652864277,0.02783022907266685
balanced5_ridge,codex-l,max_candidate_dep_score,-0.0022350601825410115,0.02783022907266685
balanced5_ridge,codex-l,topk_rule_weight,-0.008344133314582962,0.02783022907266685
balanced5_ridge,codex-l,num_neg_dep,-0.0030823941505412735,0.02783022907266685
balanced5_ridge,codex-l,effective_candidates,0.0009350667285616913,0.02783022907266685
balanced5_ridge,codex-m,synergy_weight_top5_mean,0.001835104877347274,0.019700584284307446
balanced5_ridge,codex-m,max_candidate_dep_score,-1.9198361969909648e-05,0.019700584284307446
balanced5_ridge,codex-m,topk_rule_weight,-0.007459583164242487,0.019700584284307446
balanced5_ridge,codex-m,num_neg_dep,-0.0004299066747067658,0.019700584284307446
balanced5_ridge,codex-m,effective_candidates,0.010828402586485581,0.019700584284307446
balanced5_ridge,hetionet,synergy_weight_top5_mean,0.06467520903983931,0.05950979860025751
balanced5_ridge,hetionet,max_candidate_dep_score,-0.0011604239121980743,0.05950979860025751
balanced5_ridge,hetionet,topk_rule_weight,0.005184551769254993,0.05950979860025751
balanced5_ridge,hetionet,num_neg_dep,-0.007343208060356963,0.05950979860025751
balanced5_ridge,hetionet,effective_candidates,-0.013709864049957677,0.05950979860025751
balanced5_global_ridge,global,synergy_weight_top5_mean,0.05794913741500111,0.05245902510236231
balanced5_global_ridge,global,max_candidate_dep_score,0.0030471664232144544,0.05245902510236231
balanced5_global_ridge,global,topk_rule_weight,0.0014787916804498433,0.05245902510236231
balanced5_global_ridge,global,num_neg_dep,-0.004087836092226055,0.05245902510236231
balanced5_global_ridge,global,effective_candidates,-0.008156927295703458,0.05245902510236231
