selector,gain_10,gain_20,gain_30,gain_50,gain_100
balanced5_rf,0.22207067922870066,0.1376413271887492,0.09887779678275242,0.06221538613350942,0.02120327627483062
balanced5_global_rf,0.16418076492851533,0.10415179842187154,0.0719114545853228,0.043668608257567625,0.02120327627483065
synergy_weight_top5_mean,0.10602208471402179,0.0817464314793426,0.06119299469003,0.04430156297133674,0.021203276274830683
synergy_weight_top5_mean_global_rf,0.07319102491326442,0.05945160712572022,0.04830820813007421,0.03683510025829254,0.02120327627483065
max_candidate_dep_score,0.11545652403225258,0.07906472895610582,0.058945430110671736,0.04365266595969307,0.021203276274830683
max_candidate_dep_score_global_rf,0.07251033651918203,0.05458910622485434,0.046045791861678786,0.038323200262161405,0.021203276274830683
topk_rule_weight,0.11091259624983353,0.08697783036464564,0.0708472890459965,0.04780282473309384,0.02120327627483065
topk_rule_weight_global_rf,0.048188529796966355,0.03971013566382885,0.033485252860302496,0.025853579905399098,0.02120327627483065
num_neg_dep,0.0675582915985502,0.049846044043813195,0.0378072365692314,0.03247732440546484,0.021203276274830683
num_neg_dep_global_rf,0.04568939896448544,0.036517667275708314,0.03422623124538347,0.028693287102119807,0.021203276274830683
effective_candidates,0.11805811476299269,0.0888636015263725,0.07503503687449468,0.053520771858339575,0.021203276274830714
effective_candidates_global_rf,0.060545970488262046,0.0540435219692405,0.04608061863372174,0.03787789515613903,0.021203276274830714
balanced5_global_ridge,0.05264507192658874,0.04388061164401665,0.034015894198409544,0.025952004330806515,0.02120327627483062
balanced5_ridge,0.07613630354707733,0.06146025307279276,0.04820789736659797,0.036256721868762165,0.021203276274830683
