selector,dataset,coverage,feature,n,min,q25,median,q75,max,mean
balanced5_rf,FB15k-237,0.1,synergy_weight_top5_mean,4082,0.0,0.5127649999999999,0.993002,1.369072,2.339638,0.9449056587865425
balanced5_rf,FB15k-237,0.1,max_candidate_dep_score,4082,-0.9572362000000002,0.0891178,0.4690356,0.834050775,3.9710366,0.5998423616364527
balanced5_rf,FB15k-237,0.1,topk_rule_weight,4082,0.0974344503854056,0.5790503187959553,0.9180272794351113,1.299892858567962,2.0109737424023755,1.009105721770876
balanced5_rf,FB15k-237,0.1,num_neg_dep,4082,0.0,3.0,17.0,92.0,369.0,69.20112689857913
balanced5_rf,FB15k-237,0.1,effective_candidates,4082,3.9329494035769232,99.76120828037915,100.7992368784978,107.92523601039304,165.96783336299018,108.82324160551717
balanced5_rf,FB15k-237,0.2,synergy_weight_top5_mean,8164,0.0,0.6244795,0.993002,1.3327145,2.352808,0.9676319808508901
balanced5_rf,FB15k-237,0.2,max_candidate_dep_score,8164,-0.9572362000000002,0.1300846,0.44086254999999996,0.7862225000000005,3.9710366,0.5623440780744731
balanced5_rf,FB15k-237,0.2,topk_rule_weight,8164,0.0729912774536467,0.588205843529522,0.8619485467293164,1.1998251418058543,2.024432172826236,0.9481140567920322
balanced5_rf,FB15k-237,0.2,num_neg_dep,8164,0.0,2.0,13.0,48.25,369.0,46.1390249877511
balanced5_rf,FB15k-237,0.2,effective_candidates,8164,1.993683544904549,99.60778139376968,100.32960412041038,103.654608699432,165.96783336299018,103.6054264236482
balanced5_rf,FB15k-237,0.5,synergy_weight_top5_mean,20410,0.0,0.0,0.41846199999999995,1.010132,2.364568,0.566025774269149
balanced5_rf,FB15k-237,0.5,max_candidate_dep_score,20410,-19.125658899999983,0.0,0.0367001,0.3835504249999999,4.957934000000008,0.25955585326310626
balanced5_rf,FB15k-237,0.5,topk_rule_weight,20410,0.0024968801985871,0.2837969292013486,0.6469886531151997,1.1442881042503896,2.024432172826236,0.7403978893176492
balanced5_rf,FB15k-237,0.5,num_neg_dep,20410,0.0,0.0,2.0,21.0,369.0,27.312150906418424
balanced5_rf,FB15k-237,0.5,effective_candidates,20410,1.0,99.54082526830335,99.98137212021015,100.98928138374542,165.96783336299018,96.62007594117432
balanced5_rf,KG20C,0.1,synergy_weight_top5_mean,745,0.03078,0.51061,0.751165,1.072422,1.664406,0.8225049740492169
balanced5_rf,KG20C,0.1,max_candidate_dep_score,745,4.957418683145493e-06,0.0021014437500505,0.0034377611335488,0.0153973902184452,0.136238,0.014433712031292458
balanced5_rf,KG20C,0.1,topk_rule_weight,745,0.0649043403272041,0.196041615164592,0.2839174035788612,0.4054651081081643,1.120591195386885,0.33909935664126173
balanced5_rf,KG20C,0.1,num_neg_dep,745,0.0,0.0,0.0,0.0,28.0,2.0429530201342283
balanced5_rf,KG20C,0.1,effective_candidates,745,99.77488937827025,99.96344841182147,99.99342518162968,100.96374037686552,113.86146482694386,101.46202344021931
balanced5_rf,KG20C,0.2,synergy_weight_top5_mean,1490,0.0,0.50509,0.770914,1.1539055,1.664406,0.8392364112975392
balanced5_rf,KG20C,0.2,max_candidate_dep_score,1490,0.0,0.0018324048050442,0.0031765280125648,0.0159896768876495,0.136238,0.015530424970919077
balanced5_rf,KG20C,0.2,topk_rule_weight,1490,0.0573918642986635,0.2227824429375186,0.30481862247655794,0.4054651081081643,1.120591195386885,0.34395122435937914
balanced5_rf,KG20C,0.2,num_neg_dep,1490,0.0,0.0,0.0,1.0,51.0,1.859731543624161
balanced5_rf,KG20C,0.2,effective_candidates,1490,99.7284153832277,99.95284932601444,99.98954698669418,100.9396717025046,113.86146482694386,101.10948242928723
balanced5_rf,KG20C,0.5,synergy_weight_top5_mean,3724,0.0,0.20226,0.716972,1.115968,1.664406,0.7209727744360902
balanced5_rf,KG20C,0.5,max_candidate_dep_score,3724,0.0,0.0001861534803524,0.0018324048050442,0.005248218599872625,0.1593092,0.01284295325498514
balanced5_rf,KG20C,0.5,topk_rule_weight,3724,0.0464586153576728,0.19082433873065335,0.3026979882233254,0.4054651081081643,1.120591195386885,0.32152402158588095
balanced5_rf,KG20C,0.5,num_neg_dep,3724,0.0,0.0,0.0,1.0,57.0,1.8904403866809882
balanced5_rf,KG20C,0.5,effective_candidates,3724,19.99367284900508,99.9428988641008,99.98633429718956,100.8735210735265,113.86146482694386,100.69846613846907
balanced5_rf,WN18RR,0.1,synergy_weight_top5_mean,606,0.0,0.0,0.34475,0.64683,2.47159,0.45614596232123206
balanced5_rf,WN18RR,0.1,max_candidate_dep_score,606,0.0,0.0,0.12624105000000002,0.2704985,1.7869029999999992,0.24354137904290427
balanced5_rf,WN18RR,0.1,topk_rule_weight,606,0.0009980040748513,0.16278806892075107,0.2675784289809917,0.4041354121729106,1.3862943611198906,0.33093254169629327
balanced5_rf,WN18RR,0.1,num_neg_dep,606,0.0,0.0,0.0,0.0,8.0,0.4521452145214521
balanced5_rf,WN18RR,0.1,effective_candidates,606,1.0,99.945014593647,99.99377551002658,99.999931331037,106.93570556619112,96.42370066546047
balanced5_rf,WN18RR,0.2,synergy_weight_top5_mean,1211,0.0,0.0,0.0,0.41137,2.47159,0.2578535655105973
balanced5_rf,WN18RR,0.2,max_candidate_dep_score,1211,0.0,0.0,0.0,0.1773443,1.7869029999999992,0.12705961899256812
balanced5_rf,WN18RR,0.2,topk_rule_weight,1211,0.0009980040748513,0.14421448618427823,0.251314428280906,0.4041354121729106,1.9363406980391624,0.30802499105038117
balanced5_rf,WN18RR,0.2,num_neg_dep,1211,0.0,0.0,0.0,0.0,8.0,0.25763831544178367
balanced5_rf,WN18RR,0.2,effective_candidates,1211,1.0,99.93369012779324,99.99029285855212,99.9997977512564,106.93570556619112,97.37096575315411
balanced5_rf,WN18RR,0.5,synergy_weight_top5_mean,3028,0.0,0.0,0.0,0.0,2.47159,0.11604877399823867
balanced5_rf,WN18RR,0.5,max_candidate_dep_score,3028,0.0,0.0,0.0,0.0,1.7869029999999992,0.053669086492734476
balanced5_rf,WN18RR,0.5,topk_rule_weight,3028,0.0009980040748513,0.0476737449547491,0.12238912113865635,0.31035114490154325,1.9363406980391624,0.22542625206197975
balanced5_rf,WN18RR,0.5,num_neg_dep,3028,0.0,0.0,0.0,0.0,8.0,0.15422721268163805
balanced5_rf,WN18RR,0.5,effective_candidates,3028,1.0,99.99016297470077,99.99988102364853,99.99999829482596,106.93570556619112,97.84268314637634
balanced5_rf,YAGO3-10,0.1,synergy_weight_top5_mean,998,0.775434,2.127252,2.917898,2.931678,3.582282,2.6448529699398793
balanced5_rf,YAGO3-10,0.1,max_candidate_dep_score,998,-1.8799525,0.1561055,0.4671683,0.5392515499999999,4.100602199999997,0.4258623929859719
balanced5_rf,YAGO3-10,0.1,topk_rule_weight,998,0.2105048507075632,1.2823915755397626,1.961492268802556,2.234964905319067,3.0859791514017685,1.812783920770911
balanced5_rf,YAGO3-10,0.1,num_neg_dep,998,0.0,34.0,59.0,93.0,239.0,64.52404809619239
balanced5_rf,YAGO3-10,0.1,effective_candidates,998,96.62284462972872,98.93165285900173,99.84128252620799,100.2885785029817,102.7814407355056,99.73009045543016
balanced5_rf,YAGO3-10,0.2,synergy_weight_top5_mean,1995,0.205168,2.127252,2.858084,2.920498,3.582282,2.4970173029239757
balanced5_rf,YAGO3-10,0.2,max_candidate_dep_score,1995,-1.8850924,0.1561055,0.1722311999999998,0.5386794,4.100602199999997,0.3650177455137844
balanced5_rf,YAGO3-10,0.2,topk_rule_weight,1995,0.1697327995745009,1.2232768028409045,1.961492268802556,2.260468305057892,3.2312983448667576,1.7377646922459844
balanced5_rf,YAGO3-10,0.2,num_neg_dep,1995,0.0,23.0,42.0,74.0,239.0,50.84862155388471
balanced5_rf,YAGO3-10,0.2,effective_candidates,1995,96.62284462972872,99.01786065195053,99.69197310060244,99.99675352228849,102.88463494370544,99.64291555296249
balanced5_rf,YAGO3-10,0.5,synergy_weight_top5_mean,4988,0.0,2.127252,2.127252,2.920498,4.148552,2.193552778468324
balanced5_rf,YAGO3-10,0.5,max_candidate_dep_score,4988,-1.8852595,0.1199410999999999,0.15627259999999998,0.4286016999999999,4.100602199999997,0.25047208101443463
balanced5_rf,YAGO3-10,0.5,topk_rule_weight,4988,0.0445996753089026,0.7063882301072855,1.5354075833069194,2.0110387977131343,3.634291263829534,1.4718602190533439
balanced5_rf,YAGO3-10,0.5,num_neg_dep,4988,0.0,4.0,17.0,47.0,332.0,31.123496391339213
balanced5_rf,YAGO3-10,0.5,effective_candidates,4988,1.9893037238281772,99.36872056458532,99.81930282627332,99.99057248664909,102.88463494370544,99.57275018817737
balanced5_rf,codex-l,0.1,synergy_weight_top5_mean,6113,0.0,2.017692,2.112766,2.509428,3.531336,2.067778625088609
balanced5_rf,codex-l,0.1,max_candidate_dep_score,6113,-0.0793411203868648,-0.0114774033206335,-1.4324433227295138e-05,0.0,0.1119060642606735,-0.006428113336409467
balanced5_rf,codex-l,0.1,topk_rule_weight,6113,0.0634821163530379,0.4668672169835085,0.6139182345030526,0.9823311527604888,2.2868604478527907,0.8149866091269813
balanced5_rf,codex-l,0.1,num_neg_dep,6113,0.0,6.0,16.0,29.0,118.0,19.92916734827417
balanced5_rf,codex-l,0.1,effective_candidates,6113,60.86266663588714,99.80120359124022,99.94521210005696,100.3140624156221,167.01881606703702,104.02024621378744
balanced5_rf,codex-l,0.2,synergy_weight_top5_mean,12226,0.0,1.344749875,2.086996,2.3375025000000003,3.540008,1.712890746987295
balanced5_rf,codex-l,0.2,max_candidate_dep_score,12226,-0.0793411203868648,-0.0042033375497544,0.0,0.0,0.2079619,-0.002918779805427425
balanced5_rf,codex-l,0.2,topk_rule_weight,12226,0.0205039801977073,0.4993019468888411,0.7731898882334817,1.5075079318730635,2.350013786565157,0.993940708040014
balanced5_rf,codex-l,0.2,num_neg_dep,12226,0.0,0.0,11.0,22.0,118.0,14.766235890724685
balanced5_rf,codex-l,0.2,effective_candidates,12226,21.983815898723773,99.80609283809495,99.98136189081535,102.789697003604,167.01881606703702,107.63739874042622
balanced5_rf,codex-l,0.5,synergy_weight_top5_mean,30564,0.0,0.0,0.196845,2.1184225,3.909766,0.964655021299568
balanced5_rf,codex-l,0.5,max_candidate_dep_score,30564,-0.0793411203868648,0.0,0.0,0.0,0.2566021212461424,0.0005357827002924601
balanced5_rf,codex-l,0.5,topk_rule_weight,30564,0.0046570869203943,0.1704776708073733,0.579818495252942,1.0753554265038423,2.350013786565157,0.7471654907056146
balanced5_rf,codex-l,0.5,num_neg_dep,30564,0.0,0.0,0.0,12.0,118.0,7.744372464337129
balanced5_rf,codex-l,0.5,effective_candidates,30564,1.0,99.9207248414307,99.9998760844924,100.99999960863444,167.01881606703702,103.45465619274874
balanced5_rf,codex-m,0.1,synergy_weight_top5_mean,2059,0.0,0.0,0.05265,0.332881,2.203292,0.340713434191355
balanced5_rf,codex-m,0.1,max_candidate_dep_score,2059,-0.0128703169538924,0.0,0.0004308293865889,0.0101362820562305,0.2176965744370921,0.010006124382623818
balanced5_rf,codex-m,0.1,topk_rule_weight,2059,0.0024968801985871,0.1207543638075799,0.2234423875844499,1.4213856809311605,2.3978952727983702,0.715406344290101
balanced5_rf,codex-m,0.1,num_neg_dep,2059,0.0,0.0,0.0,1.0,143.0,11.772219524040796
balanced5_rf,codex-m,0.1,effective_candidates,2059,1.0,99.98914885790407,99.99921079065334,102.7005440139846,185.69088551118836,110.24236594716952
balanced5_rf,codex-m,0.2,synergy_weight_top5_mean,4119,0.0,0.0,0.025655,0.312618,2.203292,0.32243141098162986
balanced5_rf,codex-m,0.2,max_candidate_dep_score,4119,-0.0337015075884033,0.0,0.0,0.0080558845208487,0.2745625907813948,0.011103098908368973
balanced5_rf,codex-m,0.2,topk_rule_weight,4119,0.0024968801985871,0.11766031616813115,0.2180217988502096,0.6535784449733599,2.3978952727983702,0.6220638791744648
balanced5_rf,codex-m,0.2,num_neg_dep,4119,0.0,0.0,0.0,1.0,166.0,12.24326292789512
balanced5_rf,codex-m,0.2,effective_candidates,4119,1.0,99.98567777237426,99.99895323998555,100.99961384676511,185.69088551118836,105.45490237470268
balanced5_rf,codex-m,0.5,synergy_weight_top5_mean,10297,0.0,0.0,0.0,0.171636,2.203292,0.23550299248972192
balanced5_rf,codex-m,0.5,max_candidate_dep_score,10297,-0.0422010623516184,0.0,0.0,0.0048905095977119,0.3123671001251914,0.010749931141429634
balanced5_rf,codex-m,0.5,topk_rule_weight,10297,0.0024968801985871,0.1414133569092429,0.3895924374740918,1.4213856809311605,2.3978952727983702,0.7603276410177049
balanced5_rf,codex-m,0.5,num_neg_dep,10297,0.0,0.0,0.0,0.0,166.0,6.469068660774983
balanced5_rf,codex-m,0.5,effective_candidates,10297,1.0,99.98023493492558,99.99960447469552,102.88029473265398,185.69088551118836,103.67492041888997
balanced5_rf,hetionet,0.1,synergy_weight_top5_mean,45004,0.07683,5.254952,5.492688,5.550072,5.578564,5.248536313294374
balanced5_rf,hetionet,0.1,max_candidate_dep_score,45004,-0.000199380010658,0.0,0.0037406044187884,0.017471455569512302,0.3667242363401776,0.013680040082834624
balanced5_rf,hetionet,0.1,topk_rule_weight,45004,0.1067469015723862,1.145073602665662,1.4597556398334823,1.629842140490097,2.1269080789187598,1.3682072841278328
balanced5_rf,hetionet,0.1,num_neg_dep,45004,0.0,3.0,19.0,37.0,313.0,25.777019820460403
balanced5_rf,hetionet,0.1,effective_candidates,45004,96.64123566335716,101.0994406689437,104.13766877639225,109.7477622260291,191.5851097117101,110.51291139230266
balanced5_rf,hetionet,0.2,synergy_weight_top5_mean,90008,0.0,5.084438,5.46169,5.550072,5.578564,5.0521753648212755
balanced5_rf,hetionet,0.2,max_candidate_dep_score,90008,-0.1751998075893551,0.0,0.0027954359896465,0.0167152761092466,0.3667242363401776,0.013736228714044823
balanced5_rf,hetionet,0.2,topk_rule_weight,90008,0.0940640737240776,1.3787695871070442,1.583569687816134,1.6942754369002588,2.1269080789187598,1.4913500140960612
balanced5_rf,hetionet,0.2,num_neg_dep,90008,0.0,8.0,28.0,48.0,343.0,33.58854768465025
balanced5_rf,hetionet,0.2,effective_candidates,90008,96.64123566335716,101.60895793771594,106.07278953459283,114.83617542446312,192.33862468927612,112.46466844529557
balanced5_rf,hetionet,0.5,synergy_weight_top5_mean,225020,0.0,0.108902,4.07613,5.398608,5.578564,3.192934559772465
balanced5_rf,hetionet,0.5,max_candidate_dep_score,225020,-0.3389269098428589,0.0,0.0007984671637572,0.012881364629174925,0.3734679695921971,0.009513746469737098
balanced5_rf,hetionet,0.5,topk_rule_weight,225020,0.0563501922605186,1.2883548581251754,1.5329192122929771,1.6450012635536913,2.1269080789187598,1.4210172522072215
balanced5_rf,hetionet,0.5,num_neg_dep,225020,0.0,0.0,15.0,41.0,500.0,26.583481468313927
balanced5_rf,hetionet,0.5,effective_candidates,225020,96.59400627513207,100.54318481596422,103.24401690414685,112.14957087769402,198.9019813260522,111.23317005475901
