selector,dataset,coverage,feature,n_selected,value_min,value_q25,value_median,value_q75,value_max,percentile_min,percentile_q25,percentile_median,percentile_q75,percentile_max
balanced1_syn_global_rf,global,0.1,synergy_weight_top5_mean,59607,0.01485,3.088354,5.464196,5.578564,5.578564,0.5475967184511626,0.746372009529242,0.9178748783679496,0.9839336643962018,0.9839336643962018
balanced1_max_global_rf,global,0.1,max_candidate_dep_score,59607,-0.9572362000000002,3.531167896504876e-05,0.009926720402146,0.017055903610239,3.6980606,0.00017447907928732007,0.6861842767506627,0.8342490688856826,0.8689242693688555,0.9998926282589001
balanced1_topk_global_rf,global,0.1,topk_rule_weight,59607,0.0526730584744723,1.6341305250244722,1.660540715271552,1.699430496314387,2.7080502011022105,0.014641143509042713,0.7507063047344227,0.7775886655705802,0.8063701640774419,0.9987283159413481
