feature,gain@10,gain@20,gain@50,Feature Range Absolute,Feature Range Percentile
synergy_weight_top5_mean,0.07319102491326442,0.05945160712572022,0.03683510025829254,"[1.418, 5.579]","[68.40%, 98.39%]"
max_candidate_dep_score,0.07251033651918203,0.05458910622485434,0.038323200262161405,"[-1.482e-05, 0.0406]","[6.76%, 92.65%]"
topk_rule_weight,0.048188529796966355,0.03971013566382885,0.025853579905399098,"[1.392, 1.775]","[53.48%, 85.25%]"
