feature,gain@10,gain@20,gain@50,Feature Range Absolute,Feature Range Percentile
synergy_weight_top5_mean,0.12639871598658683,0.08310264363815545,0.04014986077110035,"[1.302, 5.579]","[68.00%, 98.39%]"
topk_rule_weight,0.12639871598658683,0.08310264363815545,0.04014986077110035,"[0.5355, 1.698]","[14.47%, 80.52%]"
