selector,gain_10,gain_20,gain_30,gain_50,gain_100,feature,paper_name,value_range_iqr,percentile_range_iqr
balanced1_syn_global_rf,0.07319102491326442,0.05945160712572022,0.04830820813007421,0.03683510025829254,0.02120327627483065,synergy_weight_top5_mean,Synergy strength,"[3.088, 5.579]","[74.64%, 98.39%]"
balanced1_max_global_rf,0.07251033651918203,0.05458910622485434,0.046045791861678786,0.038323200262161405,0.021203276274830683,max_candidate_dep_score,Max candidate dependency score,"[3.531e-05, 0.01706]","[68.62%, 86.89%]"
balanced1_eff_global_rf,0.060545970488262046,0.0540435219692405,0.04608061863372174,0.03787789515613903,0.021203276274830714,effective_candidates,Effective candidates,"[103.5, 111.4]","[58.45%, 72.95%]"
