selector,dataset,gain_10,mrr_stage1,mrr_stage2,n
balanced2_syn_topk_global_rf,FB15k-237,0.08398326805117429,0.24948956351774493,0.2704425124066262,4082
balanced2_syn_topk_global_rf,KG20C,0.2386459888393333,0.15961822053036326,0.19771046860560657,745
balanced2_syn_topk_global_rf,WN18RR,0.023743867830011922,0.40815454984128446,0.4178457175269339,606
balanced2_syn_topk_global_rf,YAGO3-10,0.14161143010644528,0.6098415429814417,0.6962020760213649,998
balanced2_syn_topk_global_rf,codex-l,0.0623892751150017,0.3857290680234231,0.40979442496818963,6113
balanced2_syn_topk_global_rf,codex-m,0.041839045426207866,0.33149360457765736,0.34536298055807935,2059
balanced2_syn_topk_global_rf,hetionet,0.2925781365379334,0.4739683999843728,0.6126411912296664,45004
