dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,17,500,20708500,8143,793,6,0,6,0.0003932201752903397,0.0973842564165541,0.007566204287515763
FB15k-237,18,500,20708500,130606,20977,93,0,93,0.006306878817876717,0.1606128355511998,0.004433427086809363
FB15k-237,19,500,20708500,866,135,0,0,0,4.181857691286187e-05,0.1558891454965358,0.0
FB15k-237,20,500,20708500,4226,403,0,0,0,0.0002040707921867832,0.09536204448651207,0.0
FB15k-237,21,500,20708500,20412,3040,0,0,0,0.000985682207789072,0.14893200078385263,0.0
FB15k-237,22,500,20708500,66832,16666,3,3,0,0.0032272738247579496,0.24937155853483362,0.00018000720028801153
FB15k-237,23,500,20708500,60032,15565,40,0,40,0.0028989062462273945,0.25927838486140725,0.00256986829424992
FB15k-237,24,500,20708500,420690,153056,29,27,2,0.02031484656059106,0.36382134113004827,0.00018947313401630777
FB15k-237,25,500,20708500,177766,38770,121,0,121,0.008584204553685684,0.21809569884004815,0.0031209698220273406
FB15k-237,26,500,20708500,2264,225,0,0,0,0.00010932708791076128,0.09938162544169611,0.0
FB15k-237,27,500,20708500,27261,9328,16,1,15,0.0013164159644590385,0.34217380140126924,0.0017152658662092624
FB15k-237,28,500,20708500,130590,27744,199,3,196,0.006306106188280175,0.21245118309212038,0.007172722029988466
FB15k-237,29,500,20708500,1257,107,0,0,0,6.069971267836878e-05,0.08512330946698489,0.0
FB15k-237,30,500,20708500,19239,6396,41,0,41,0.0009290388004925513,0.332449711523468,0.00641025641025641
FB15k-237,31,500,20708500,26137,7671,23,0,23,0.0012621387353019293,0.29349198454298503,0.00299830530569678
FB15k-237,32,500,20708500,113636,35086,49,0,49,0.0054874085520438464,0.30875778802492165,0.0013965684318531608
FB15k-237,33,333,6099006,3246426,1751453,43011,0,43011,0.5322877203268861,0.5395019014756536,0.024557324689843233
FB15k-237,34,500,20708500,1142496,311107,4796,0,4796,0.05517038897071251,0.27230467327675545,0.015415917996059233
FB15k-237,35,500,20708500,39647,3651,0,0,0,0.0019145278508824878,0.09208767372058416,0.0
FB15k-237,36,500,20708500,11047,1896,1,0,1,0.0005334524470628003,0.17163030687064362,0.0005274261603375527
FB15k-237,37,500,20708500,177571,50754,96,59,37,0.008574788130477823,0.2858236986895383,0.0018914765338692518
FB15k-237,38,500,20708500,13789,4343,32,11,21,0.0006658618441702682,0.3149612009572848,0.007368178678332949
FB15k-237,39,447,14786015,904616,316812,49,49,0,0.061180514154760425,0.35021710869584444,0.00015466585861646654
FB15k-237,40,500,20708500,48169,30827,90,0,90,0.0023260496897409277,0.6399759181216135,0.0029195186038213253
FB15k-237,41,500,20708500,7167,1204,9,0,9,0.0003460897699012483,0.16799218640993444,0.007475083056478406
