dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
KG20C,0,500,20708500,207,201,0,0,0,9.995895405268368e-06,0.9710144927536232,0.0
KG20C,1,500,20708500,15,15,0,0,0,7.243402467585774e-07,1.0,0.0
KG20C,2,500,20708500,151,149,0,0,0,7.291691817369679e-06,0.9867549668874173,0.0
KG20C,3,500,20708500,14,5,0,0,0,6.760508969746723e-07,0.35714285714285715,0.0
KG20C,4,500,20708500,476,226,0,0,0,2.2985730497138857e-05,0.47478991596638653,0.0
KG20C,ALL,2500,103542500,863,596,0,0,0,8.33474177270203e-06,0.6906141367323291,0.0
