experiment,relations,test_cases,weighted_stage1_mrr,weighted_stage2_mrr,gain_pt
best_combination_dep_score_clip_dep_fix_topk8_0412,63,30620,0.3304356469611156,0.33345326296719596,0.009132235077638162
tg_rd__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,63,30620,0.3294954582111625,0.33241642177037706,0.008864958488570718
tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,63,30620,0.32954378353061636,0.33245325376087703,0.008828782018248438
synergy,63,30620,0.33043553014601246,0.3333393496928605,0.008787855063784766
tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,63,30620,0.33007421560482975,0.3328418887982746,0.008385002713324097
tg_r2d3__pos_auto_sqrt__ri_conf__dn_none__dl1_0,63,30620,0.32901593074052565,0.33175102188171895,0.008312944406787093
structural_surprisal_init,63,30620,0.33027689246284053,0.3328525293065089,0.007798416729859925
pos_auto_ratio,63,30620,0.3275068728381809,0.33002446535843016,0.007687144084738584
tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_0,63,30620,0.3273496059146278,0.3298448875758966,0.007622681121906005
sign_constraint_dependency,63,30620,0.330435527363116,0.332813660158346,0.00719696460670427
best_combination_global_preselected_dep_topk_per_kind_dep_fix_topk8_0412,63,30620,0.3304355102116945,0.3327655555791317,0.007051437558706741
tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,63,30620,0.32946137933866815,0.3317354945011725,0.006902524256619191
structural_r2d3,63,30620,0.3294364918341096,0.331683687270098,0.006821331248026974
tg_r2d3__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,63,30620,0.3269118847300714,0.32911633114836863,0.006743243428171564
redundancy,63,30620,0.33043570597460475,0.33263647449001155,0.0066602018959049936
init_dep_with_lift,63,30620,0.3304357031838002,0.3326214175983612,0.0066146436159932875
structural_r3d6,63,30620,0.3296220581797493,0.33172587675904097,0.006382517574550217
structural_rule_mask,63,30620,0.3304356668954335,0.33253659202690755,0.0063580458829186615
best_combination_static_per_rule_dep_norm_dep_fix_topk8_0412,63,30620,0.3304355102116945,0.33248579224347397,0.006204787222977126
tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,63,30620,0.3297501253197332,0.33169773526322727,0.005906320555922884
tg_r2d3__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,63,30620,0.3294862634697221,0.33142230430331693,0.0058759379320003635
tg_r3d6__pos_auto_sqrt__ri_conf__dn_none__dl1_0,63,30620,0.3297873778109528,0.33172452720297885,0.0058739343054436954
tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,63,30620,0.33017373784848203,0.3320913201064972,0.005807797647719548
tg_r3d6__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,63,30620,0.32965357316262167,0.3315673591793743,0.005805445997118186
tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,63,30620,0.3301852098048299,0.33161250346218857,0.0043227062114694625
