dataset,feature,sort_direction,coverage,n,threshold,mrr_stage1,mrr_stage2,delta_mrr,gain_pt
YAGO3-10,compact_formula,desc,0.16,1596,0.9069172932330827,0.7298795465916,0.7630875088886856,0.03320796229708556,0.045497866671508236
YAGO3-10,compact_formula,desc,0.18,1796,0.9069172932330827,0.745852148558207,0.7802530550661471,0.03440090650794003,0.04612295690833612
YAGO3-10,compact_formula,desc,0.2,1995,0.8748370927318295,0.7502169265837719,0.7853157676784464,0.03509884109467443,0.04678492293489356
YAGO3-10,compact_formula,desc,0.22,2194,0.844812030075188,0.7499374530797686,0.7836898147899833,0.033752361710214784,0.045006902337793475
YAGO3-10,compact_formula,desc,0.24,2394,0.8252130325814536,0.7467791210503009,0.77882319802893,0.0320440769786291,0.04290971195547222
YAGO3-10,compact_formula,desc,0.26,2594,0.8252130325814536,0.7413690681764988,0.7740337301423219,0.03266466196582307,0.04405992017736371
YAGO3-10,compact_formula,desc,0.28,2793,0.8252130325814536,0.7445088536011568,0.7788850216652659,0.034376168064109036,0.046172947303222855
YAGO3-10,compact_formula,desc,0.3,2993,0.7972932330827067,0.7486952125600481,0.7830140693158663,0.03431885675581814,0.045838221188125416
YAGO3-10,compact_formula,desc,0.32,3192,0.7670676691729323,0.744850081361492,0.7778430794474956,0.032992998086003644,0.04429481705324734
YAGO3-10,compact_formula,desc,0.34,3392,0.7520802005012531,0.7303631608271687,0.7620425538076384,0.031679392980469734,0.04337485059431456
YAGO3-10,compact_formula,desc,0.36,3591,0.7481704260651629,0.7100893331233806,0.7408619699157951,0.030772636792414487,0.04333628933286282
YAGO3-10,compact_formula,desc,0.38,3790,0.7481704260651629,0.7099852906861139,0.7405484376832109,0.030563146997096946,0.04304757774285917
YAGO3-10,compact_formula,desc,0.4,3990,0.7481704260651629,0.7159173481648139,0.7471251974368402,0.031207849272026356,0.04359141366251951
YAGO3-10,compact_formula,desc,0.42,4190,0.7481704260651629,0.6999761478190687,0.7303137447548873,0.03033759693581861,0.04334090101547328
YAGO3-10,compact_formula,desc,0.44,4389,0.7481704260651629,0.6882101716374356,0.7177658541885465,0.029555682551110962,0.042945721770996315
YAGO3-10,compact_formula,desc,0.46,4588,0.7481704260651629,0.6755170776838166,0.7040723296495481,0.0285552519657315,0.04227169513410445
YAGO3-10,compact_formula,desc,0.48,4788,0.7481704260651629,0.6671051339792131,0.6954103822802311,0.028305248301017993,0.042429966221636084
YAGO3-10,compact_formula,desc,0.5,4988,0.7481704260651629,0.6747411021241303,0.7029725784581113,0.028231476333981043,0.04184045739188913
YAGO3-10,compact_formula,desc,0.52,5187,0.7481704260651629,0.6810658084534996,0.7092281368214871,0.028162328367987488,0.041350377626408585
YAGO3-10,compact_formula,desc,0.54,5386,0.7481704260651629,0.6885088253303528,0.716963763334658,0.028454938004305208,0.04132835623516118
YAGO3-10,compact_formula,desc,0.56,5586,0.7481704260651629,0.6957497820172891,0.7235779590946387,0.027828177077349636,0.03999739244856593
YAGO3-10,compact_formula,desc,0.58,5786,0.7481704260651629,0.7009726518223582,0.7283943951938682,0.027421743371509932,0.039119562368403527
YAGO3-10,compact_formula,desc,0.6,5985,0.6592481203007519,0.695456932439692,0.7227190562912817,0.02726212385158977,0.039200304979279066
YAGO3-10,compact_formula,desc,0.62,6184,0.5655137844611529,0.6923840831907876,0.7188695359954629,0.02648545280467529,0.03825254428527525
YAGO3-10,compact_formula,desc,0.64,6384,0.5120802005012531,0.6898579779140888,0.7164243792176146,0.026566401303525833,0.03850995734492213
YAGO3-10,compact_formula,desc,0.66,6584,0.4982957393483709,0.6817877178529796,0.7078438300162395,0.02605611216325987,0.03821733874190825
YAGO3-10,compact_formula,desc,0.68,6783,0.4936842105263158,0.678128172661769,0.7037836058773883,0.02565543321561936,0.037832719904435486
YAGO3-10,compact_formula,desc,0.7,6983,0.43719298245614036,0.6686895853689111,0.6938235605460578,0.02513397517714666,0.037586909871312635
YAGO3-10,compact_formula,desc,0.72,7182,0.38025062656641606,0.6593671649838155,0.6841723072379052,0.024805142254089696,0.03761962010149311
YAGO3-10,compact_formula,desc,0.74,7382,0.3316290726817043,0.6485110961460419,0.6722693992400058,0.023758303093963984,0.036635152790992054
YAGO3-10,compact_formula,desc,0.76,7581,0.30586466165413534,0.6360190289625567,0.6593081538356258,0.02328912487306911,0.03661702529727329
YAGO3-10,compact_formula,desc,0.78,7780,0.2999498746867168,0.6207645960185253,0.6434871817378702,0.022722585719344934,0.03660419080772903
YAGO3-10,compact_formula,desc,0.8,7980,0.26275689223057647,0.6097950764528116,0.6323984828832699,0.022603406430458328,0.03706721700992199
YAGO3-10,compact_formula,desc,0.82,8180,0.23714285714285716,0.6082562835446297,0.6306420578051658,0.022385774260536118,0.03680319442009283
YAGO3-10,compact_formula,desc,0.84,8379,0.20741854636591478,0.6010919903790268,0.6231003017471005,0.022008311368073685,0.03661388226816342
YAGO3-10,compact_formula,desc,0.86,8578,0.09157894736842105,0.5952568555964334,0.6168424664595669,0.021585610863133486,0.03626268334449545
YAGO3-10,compact_formula,desc,0.88,8778,0.09157894736842105,0.5894661155548219,0.6105836626375977,0.0211175470827758,0.035824870209714144
YAGO3-10,compact_formula,desc,0.9,8978,0.09157894736842105,0.5828553348688617,0.6035083452321554,0.0206530103632937,0.03543419632238676
YAGO3-10,compact_formula,desc,0.92,9177,0.09157894736842105,0.5857833670104906,0.6060104417998957,0.02022707478940511,0.034529957538113054
YAGO3-10,compact_formula,desc,0.94,9376,0.09157894736842105,0.5848216630821603,0.6046418441791314,0.019820181096971035,0.033890983094767124
YAGO3-10,compact_formula,desc,0.96,9576,0.09157894736842105,0.577209880296663,0.5966449296518904,0.01943504935522744,0.03367068031690423
YAGO3-10,compact_formula,desc,0.98,9776,0.09157894736842105,0.5683944702311272,0.5873980258947765,0.019003555663649307,0.033433744800370535
YAGO3-10,compact_formula,desc,1.0,9975,0.09157894736842105,0.5607274620553511,0.5794717170327528,0.01874425497740173,0.03342845900340685
codex-l,compact_formula,desc,0.02,1223,0.9897102848075382,0.3512399472270859,0.3521166084216081,0.0008766611945221769,0.002495904015027639
codex-l,compact_formula,desc,0.04,2445,0.9793469548005038,0.34837766399625286,0.34554850644830937,-0.002829157547943495,-0.008120949878043682
codex-l,compact_formula,desc,0.06,3668,0.967674916978848,0.3825463361506237,0.38273846256544447,0.000192126414820748,0.0005022304402495514
codex-l,compact_formula,desc,0.08,4890,0.9554875754551849,0.38279002251215677,0.38887996243126105,0.006089939919104281,0.015909348627055397
codex-l,compact_formula,desc,0.1,6113,0.9396849285936298,0.3474405389263999,0.3533410431435638,0.005900504217163871,0.01698277419035943
codex-l,compact_formula,desc,0.12,7335,0.9300577467323202,0.3501992032608843,0.35649076547264585,0.006291562211761581,0.017965666835268568
codex-l,compact_formula,desc,0.14,8558,0.9181566850431055,0.3475677846787411,0.35362059214256597,0.006052807463824861,0.017414753986533915
codex-l,compact_formula,desc,0.16,9781,0.9042353056650689,0.339086110272301,0.3457369381277157,0.006650827855414709,0.01961397902755091
codex-l,compact_formula,desc,0.18,11003,0.8842775114920906,0.3283505780926137,0.33435707078567944,0.006006492693065746,0.018292925591778753
codex-l,compact_formula,desc,0.2,12226,0.8778321255050794,0.3460461773908849,0.3519708592410626,0.005924681850177693,0.017121072958668604
codex-l,compact_formula,desc,0.22,13448,0.8778321255050794,0.31788125681861473,0.32339127187555416,0.005510015056939432,0.0173335638347607
codex-l,compact_formula,desc,0.24,14671,0.8778321255050794,0.2920434163184984,0.29753948516020795,0.005496068841709556,0.01881935539240387
codex-l,compact_formula,desc,0.26,15894,0.8778321255050794,0.27113163905627535,0.276290288492848,0.0051586494365726265,0.019026364663778272
codex-l,compact_formula,desc,0.28,17116,0.8778321255050794,0.27744373767544933,0.28323588005335615,0.005792142377906817,0.020876817860212116
codex-l,compact_formula,desc,0.3,18339,0.8778321255050794,0.29551394445497114,0.3020762405455289,0.006562296090557751,0.022206383873562663
codex-l,compact_formula,desc,0.32,19561,0.8350619182384793,0.3005916671588738,0.3077536891873743,0.00716202202850047,0.023826415735985984
codex-l,compact_formula,desc,0.34,20784,0.7839078015344599,0.29635349599301397,0.3034371949704592,0.0070836989774452075,0.023902869624363055
codex-l,compact_formula,desc,0.36,22006,0.693271605948077,0.2955717365096352,0.30279836637222385,0.007226629862588652,0.02444966473427712
codex-l,compact_formula,desc,0.38,23229,0.6690114348345303,0.28974889320505626,0.2966405051486111,0.006891611943554865,0.023784774006635034
codex-l,compact_formula,desc,0.4,24452,0.6514011353040292,0.29014214726723153,0.29680167420364667,0.006659526936415139,0.022952635455204984
codex-l,compact_formula,desc,0.42,25674,0.6279916242699864,0.2956263248830911,0.30209752116210153,0.006471196279010438,0.021889783602896395
codex-l,compact_formula,desc,0.44,26897,0.6089253872957189,0.304072884000653,0.3102805089817068,0.006207624981053761,0.020414924538422197
codex-l,compact_formula,desc,0.46,28119,0.5859248474537454,0.31037969751034544,0.3163616994125162,0.005982001902170742,0.019273173954850398
codex-l,compact_formula,desc,0.48,29342,0.5601187652341769,0.32014428215510443,0.32599900457160913,0.0058547224165046985,0.0182877619337527
codex-l,compact_formula,desc,0.5,30564,0.5265749480606586,0.3303881216551243,0.33598376970571353,0.005595648050589208,0.01693658967688383
codex-l,compact_formula,desc,0.52,31787,0.4968754600925911,0.3363001178585353,0.34183365374458774,0.005533535886052432,0.0164541598179877
codex-l,compact_formula,desc,0.54,33010,0.23626265765839455,0.3375077585458591,0.3429113228765809,0.005403564330721755,0.016010192933053835
codex-l,compact_formula,desc,0.56,34232,0.23626265765839455,0.33909616011156507,0.3443234141530889,0.005227254041523854,0.015415255778195913
codex-l,compact_formula,desc,0.58,35455,0.23626265765839455,0.33955247668969857,0.3447259860002909,0.00517350931059235,0.015236258504219835
codex-l,compact_formula,desc,0.6,36677,0.23626265765839455,0.3444207132476443,0.3499667685912902,0.005546055343645939,0.016102560416156653
codex-l,compact_formula,desc,0.62,37900,0.23626265765839455,0.3403720051286523,0.3459754187686876,0.005603413640035304,0.016462616065963998
codex-l,compact_formula,desc,0.64,39123,0.23626265765839455,0.33595915111471153,0.3414271677234891,0.005468016608777548,0.01627583767441565
codex-l,compact_formula,desc,0.66,40345,0.23626265765839455,0.3283547516700823,0.3336067788444061,0.00525202717432377,0.015994978442099184
codex-l,compact_formula,desc,0.68,41568,0.23626265765839455,0.3222989995087061,0.327408128949986,0.0051091294412798915,0.015852141797113806
codex-l,compact_formula,desc,0.7,42790,0.23626265765839455,0.3272441382522349,0.33234260804672605,0.005098469794491134,0.015580018703226672
codex-l,compact_formula,desc,0.72,44013,0.23626265765839455,0.326041897988735,0.33099973536472954,0.004957837375994534,0.015206135795976294
codex-l,compact_formula,desc,0.74,45235,0.23626265765839455,0.32474182705869736,0.32957608499442925,0.004834257935731889,0.014886465286955808
codex-l,compact_formula,desc,0.76,46458,0.23626265765839455,0.32166832326412714,0.32650345173437134,0.004835128470244199,0.015031410059839878
codex-l,compact_formula,desc,0.78,47681,0.23626265765839455,0.3226706225398484,0.3275927927154294,0.004922170175580998,0.015254472616183401
codex-l,compact_formula,desc,0.8,48903,0.23626265765839455,0.31896574830793295,0.32377049640277333,0.004804748094840383,0.01506352365521657
codex-l,compact_formula,desc,0.82,50126,0.23626265765839455,0.3172839525785269,0.32197971060002,0.004695758021493135,0.014799859820615824
codex-l,compact_formula,desc,0.84,51348,0.23626265765839455,0.31060540086111477,0.31519535584964353,0.004589954988528766,0.0147774474487683
codex-l,compact_formula,desc,0.86,52571,0.23626265765839455,0.30787651906887936,0.3123903606605395,0.004513841591660128,0.014661207698825063
codex-l,compact_formula,desc,0.88,53794,0.23626265765839455,0.30806792161355456,0.3125279811624471,0.004460059548892559,0.014477520170007585
codex-l,compact_formula,desc,0.9,55016,0.23626265765839455,0.3116538478390516,0.316078695982169,0.004424848143117388,0.014197957682211992
codex-l,compact_formula,desc,0.92,56239,0.23626265765839455,0.30666724459310457,0.3110288035421128,0.0043615589490082485,0.014222448030911439
codex-l,compact_formula,desc,0.94,57461,0.23626265765839455,0.3013706091266739,0.3056619450918528,0.0042913359651788885,0.014239397722340952
codex-l,compact_formula,desc,0.96,58684,0.23626265765839455,0.30751797792677527,0.31194845631218093,0.004430478385405667,0.014407217474812661
codex-l,compact_formula,desc,0.98,59906,0.23626265765839455,0.31857421706388184,0.32323303642685125,0.004658819362969413,0.014623968649776886
codex-l,compact_formula,desc,1.0,61129,0.23626265765839455,0.329320606617805,0.3342010881088403,0.004880481491035316,0.014819848478839326
codex-m,compact_formula,desc,0.02,412,0.985675439448383,0.26995195922881016,0.27932631473300806,0.009374355504197907,0.034726013958106705
codex-m,compact_formula,desc,0.04,824,0.9703068855006313,0.25687893705406845,0.26079146828023403,0.003912531226165583,0.015231031672098716
codex-m,compact_formula,desc,0.06,1236,0.9703068855006313,0.20988343965998943,0.21221626306506353,0.002332823405074097,0.011114852171535183
codex-m,compact_formula,desc,0.08,1648,0.9645527823637953,0.2079173501673239,0.20986955076911454,0.0019522006017906324,0.009389310705525844
codex-m,compact_formula,desc,0.1,2059,0.9465863843838012,0.24895069353965785,0.2503186479239448,0.001367954384286968,0.005494880792806578
codex-m,compact_formula,desc,0.12,2471,0.9316548509274546,0.2513014512838984,0.2529695907757491,0.0016681394918506842,0.006638001823420225
codex-m,compact_formula,desc,0.14,2883,0.9130086432941633,0.2656530920665371,0.26714000916846486,0.001486917101927776,0.005597213608021345
codex-m,compact_formula,desc,0.16,3295,0.8963290278721958,0.2666426414503178,0.26801784683556856,0.0013752053852507662,0.005157484856025851
codex-m,compact_formula,desc,0.18,3707,0.8773671943284452,0.2749250318229771,0.2763824489861756,0.0014574171631984711,0.005301143928345242
codex-m,compact_formula,desc,0.2,4119,0.858453918617073,0.2826130312223655,0.28421477005615847,0.0016017388337929983,0.005667604309911312
codex-m,compact_formula,desc,0.22,4531,0.832354083713703,0.3016230137252372,0.30334797150825155,0.001724957783014347,0.005718919659710275
codex-m,compact_formula,desc,0.24,4943,0.8053559289113335,0.3184903252131997,0.32034145835771594,0.0018511331445162371,0.005812211542931767
codex-m,compact_formula,desc,0.26,5354,0.7782849373603963,0.3329587807239755,0.3349801878685761,0.0020214071446005843,0.006071043209028071
