dataset,feature,sort_direction,coverage,n,threshold,mrr_stage1,mrr_stage2,delta_mrr,gain_pt
codex-m,compact_formula,desc,0.66,13592,0.3478197533262115,0.3207213670256916,0.3246459351362035,0.003924568110511895,0.01223669051709142
codex-m,compact_formula,desc,0.68,14004,0.3478197533262115,0.3117107036637494,0.3155215525676863,0.003810848903936903,0.012225595268771317
codex-m,compact_formula,desc,0.7,14416,0.3478197533262115,0.3042062165914857,0.3079139092688024,0.0037076926773166874,0.012188089772983579
codex-m,compact_formula,desc,0.72,14828,0.3478197533262115,0.2974759868885478,0.30108772016200264,0.00361173327345482,0.012141259908847735
codex-m,compact_formula,desc,0.74,15240,0.3478197533262115,0.30103469035556196,0.3045963379332217,0.0035616475776597545,0.011831352637308834
codex-m,compact_formula,desc,0.76,15651,0.3478197533262115,0.30675744722572135,0.31028142968863265,0.0035239824629113015,0.011487846488428488
codex-m,compact_formula,desc,0.78,16063,0.3478197533262115,0.31291436955470914,0.31640545730496344,0.003491087750254307,0.011156687227954043
codex-m,compact_formula,desc,0.8,16475,0.3478197533262115,0.32008187319113957,0.3235471164268117,0.003465243235672155,0.010826115209600973
codex-m,compact_formula,desc,0.82,16887,0.3478197533262115,0.3257881105028119,0.32922421385802947,0.0034361033552175457,0.010547049583590873
codex-m,compact_formula,desc,0.84,17299,0.3478197533262115,0.3322515499987241,0.3356641196550352,0.003412569656311093,0.010271042095437055
codex-m,compact_formula,desc,0.86,17711,0.3478197533262115,0.3387986925750777,0.3421903992421724,0.003391706667094707,0.010010979208082693
codex-m,compact_formula,desc,0.88,18123,0.3478197533262115,0.34311129407354424,0.3464751466264031,0.0033638525528588703,0.009803969181317207
codex-m,compact_formula,desc,0.9,18535,0.3478197533262115,0.34671982134777385,0.3500549295665977,0.0033351082188238235,0.009619029583770367
codex-m,compact_formula,desc,0.92,18946,0.3478197533262115,0.3429059637584106,0.3461550716417014,0.0032491078832908027,0.009475215442971807
codex-m,compact_formula,desc,0.94,19358,0.3478197533262115,0.3467052719019275,0.349844368790192,0.00313909688826447,0.009054078904091378
codex-m,compact_formula,desc,0.96,19770,0.3478197533262115,0.35123317269653487,0.35426749157753196,0.003034318880997089,0.008639044136126373
codex-m,compact_formula,desc,0.98,20182,0.3478197533262115,0.34690669190690915,0.3498905041316289,0.002983812224719773,0.008601195348288293
codex-m,compact_formula,desc,1.0,20594,0.3478197533262115,0.34183711089164254,0.3447687525213671,0.002931641629724535,0.008576136224875297
hetionet,compact_formula,desc,0.02,9001,0.9800028886321216,0.5794810875452546,0.6467594458917401,0.06727835834648543,0.11610104245417907
hetionet,compact_formula,desc,0.04,18002,0.9600057772642432,0.5575182141331093,0.6218374278565634,0.06431921372345406,0.11536701778158887
hetionet,compact_formula,desc,0.06,27002,0.9560105768376145,0.5517791909129175,0.6155362911935186,0.06375710028060111,0.11554821444990537
hetionet,compact_formula,desc,0.08,36003,0.9560105768376145,0.5428098604707537,0.6056019064550806,0.06279204598432686,0.11567963398798664
hetionet,compact_formula,desc,0.1,45004,0.9560105768376145,0.5570007596924981,0.6214861634022364,0.06448540370973832,0.11577255970950318
hetionet,compact_formula,desc,0.12,54005,0.929496266998489,0.5715110134663102,0.6368165895224303,0.06530557605612008,0.11426827220709335
hetionet,compact_formula,desc,0.14,63006,0.9041240778597458,0.5715305388265381,0.6343226083875166,0.06279206956097849,0.10986651682673454
hetionet,compact_formula,desc,0.16,72006,0.8897520220424852,0.5740604526002372,0.6361059529753539,0.06204550037511669,0.10808182325411608
hetionet,compact_formula,desc,0.18,81007,0.8758510354635144,0.5786623020551438,0.6406962386518239,0.062033936596680106,0.10720231191208396
hetionet,compact_formula,desc,0.2,90008,0.8758510354635144,0.5853045906135974,0.6486246674999393,0.06332007688634189,0.10818312021089915
hetionet,compact_formula,desc,0.22,99009,0.8758510354635144,0.5833789470761378,0.6468967857734927,0.06351783869735494,0.10887920967272269
hetionet,compact_formula,desc,0.24,108010,0.8758510354635144,0.5766401316124266,0.6373246774692347,0.06068454585680816,0.10523815900069144
hetionet,compact_formula,desc,0.26,117010,0.8758510354635144,0.5445227965567575,0.6006167749213746,0.05609397836461705,0.10301493109071358
hetionet,compact_formula,desc,0.28,126011,0.8758510354635144,0.5534266991065273,0.6055272151953938,0.052100516088866455,0.09414167435900622
hetionet,compact_formula,desc,0.3,135012,0.8758510354635144,0.5633845572809371,0.6124115267370058,0.04902696945606877,0.08702221035785507
hetionet,compact_formula,desc,0.32,144013,0.8758510354635144,0.5715359635605103,0.6178118647675915,0.04627590120708125,0.08096761036487576
hetionet,compact_formula,desc,0.34,153014,0.8521786952270909,0.576111266298878,0.6218325922793582,0.045721325980480176,0.07936197164517989
hetionet,compact_formula,desc,0.36,162014,0.7972291351879833,0.5794374806784885,0.6257155455879139,0.04627806490942532,0.07986722718598793
hetionet,compact_formula,desc,0.38,171015,0.7403719669362724,0.5828552366195827,0.6284671423889575,0.045611905769374794,0.07825597661936201
hetionet,compact_formula,desc,0.4,180016,0.6416018576126566,0.5732968840498242,0.6173614056343713,0.0440645215845471,0.07686161011947434
hetionet,compact_formula,desc,0.42,189017,0.6274453381921608,0.5548750006477818,0.5970511694622858,0.04217616881450392,0.07601021629243676
hetionet,compact_formula,desc,0.44,198018,0.6087681095013776,0.5404349719339158,0.5809122827034836,0.04047731076956784,0.07489765257922176
hetionet,compact_formula,desc,0.46,207018,0.5554195182650431,0.5290477861974244,0.5680213230620028,0.038973536864578384,0.07366732813439025
hetionet,compact_formula,desc,0.48,216019,0.27504999555595055,0.5095570964515573,0.5469688033531582,0.037411706901600894,0.07342004882696695
hetionet,compact_formula,desc,0.5,225020,0.27504999555595055,0.49009256440134175,0.5260147213335262,0.03592215693218448,0.07329667810011387
hetionet,compact_formula,desc,0.52,234021,0.27504999555595055,0.4721174367099938,0.5066645670833522,0.03454713037335838,0.07317486643599547
hetionet,compact_formula,desc,0.54,243022,0.27504999555595055,0.456370504902073,0.48965125321184794,0.033280748309774955,0.07292484495008345
hetionet,compact_formula,desc,0.56,252022,0.27504999555595055,0.44190078245961817,0.4740068743201275,0.032106091860509334,0.07265452593635824
hetionet,compact_formula,desc,0.58,261023,0.27504999555595055,0.4284744231307427,0.4594871008584358,0.031012677727693116,0.07237929746446037
hetionet,compact_formula,desc,0.6,270024,0.27504999555595055,0.431575569962745,0.4613729215426847,0.029797351579939735,0.06904318421571443
hetionet,compact_formula,desc,0.62,279025,0.27504999555595055,0.43978797559438004,0.46838406192869464,0.028596086334314597,0.06502243790468931
hetionet,compact_formula,desc,0.64,288026,0.27504999555595055,0.4479688331374938,0.47543351061426337,0.02746467747676956,0.061309348876822156
hetionet,compact_formula,desc,0.66,297026,0.27504999555595055,0.4545957132652737,0.4810091343212934,0.02641342105601968,0.05810310191070034
hetionet,compact_formula,desc,0.68,306027,0.27504999555595055,0.4614493211394697,0.48686653391182794,0.025417212772358255,0.055081265933157875
hetionet,compact_formula,desc,0.7,315028,0.27504999555595055,0.4673067764751956,0.4917912640735109,0.02448448759831534,0.05239489096006067
hetionet,compact_formula,desc,0.72,324029,0.27504999555595055,0.4590388151560187,0.48279205214245924,0.02375323698644055,0.05174559580188709
hetionet,compact_formula,desc,0.74,333030,0.27504999555595055,0.44770788442648607,0.47080746209247154,0.02309957766598547,0.051595199614534515
hetionet,compact_formula,desc,0.76,342030,0.27504999555595055,0.437063192972912,0.4595426202054498,0.022479427232537763,0.05143289939295115
hetionet,compact_formula,desc,0.78,351031,0.27504999555595055,0.42667098821506516,0.4485651705734325,0.02189418235836732,0.05131397016225403
hetionet,compact_formula,desc,0.8,360032,0.27504999555595055,0.4168442257606356,0.43818192923359567,0.021337703472960046,0.05118867469982136
hetionet,compact_formula,desc,0.82,369033,0.27504999555595055,0.40757604372432105,0.42838355514905857,0.020807511424737524,0.05105185092480902
hetionet,compact_formula,desc,0.84,378034,0.27504999555595055,0.4041444666617079,0.42446841438135297,0.020323947719645075,0.050288818470097585
hetionet,compact_formula,desc,0.86,387034,0.27504999555595055,0.40229789176130204,0.42210174641233283,0.019803854651030794,0.049226841742390004
hetionet,compact_formula,desc,0.88,396035,0.27504999555595055,0.3937993684827304,0.4131613498805585,0.019361981397828132,0.04916712150257618
hetionet,compact_formula,desc,0.9,405036,0.27504999555595055,0.3869790016854469,0.40596375557466585,0.01898475388921894,0.04905887349580418
hetionet,compact_formula,desc,0.92,414037,0.27504999555595055,0.38449141620115984,0.40299633529502166,0.018504919093861816,0.04812830225624687
hetionet,compact_formula,desc,0.94,423038,0.27504999555595055,0.3813472069835798,0.39940134673672806,0.018054139753148235,0.0473430496474716
hetionet,compact_formula,desc,0.96,432038,0.27504999555595055,0.3790904753910799,0.3967041196206339,0.017613644229554026,0.046462903641626196
hetionet,compact_formula,desc,0.98,441039,0.27504999555595055,0.37499574740594377,0.39230104548392636,0.01730529807798259,0.04614798487101002
hetionet,compact_formula,desc,1.0,450040,0.27504999555595055,0.37318845788014215,0.3902562686907444,0.01706781081060227,0.045735098313474554
