dataset,rd_mrr,r2d3_mrr,r3d6_mrr,best_by_mrr,best_margin_vs_rd,best_margin_vs_r2d3,best_margin_vs_r3d6,rd_h1,r2d3_h1,r3d6_h1,rd_h10,r2d3_h10,r3d6_h10,rd_time,r2d3_time,r3d6_time
FB15k-237,0.348228,0.351555,0.351437,structural_r2d3_filtered,0.003327,0.000000,0.000118,0.262215,0.266393,0.265733,0.518103,0.520766,0.521035,5648.632215,6071.763755,5967.560018
KG20C,0.232779,0.227091,0.228288,structural_rd_filtered,0.000000,0.005688,0.004491,0.159909,0.155478,0.156418,0.371241,0.368018,0.368824,404.645360,403.597371,405.288557
WN18RR,0.500535,0.499230,0.499178,structural_rd_filtered,0.000000,0.001305,0.001357,0.457243,0.456445,0.456445,0.583599,0.580728,0.581844,1359.727033,1398.167802,1295.944068
YAGO3-10,0.575377,0.576659,0.568721,structural_r2d3_filtered,0.001282,0.000000,0.007938,0.502500,0.503500,0.494700,0.706300,0.706700,0.702700,3608.414722,4299.373470,4095.612698
codex-l,0.333535,0.331684,0.331726,structural_rd_filtered,0.000000,0.001851,0.001809,0.273726,0.271702,0.272028,0.447632,0.446310,0.445885,5381.380346,5454.590078,5388.578173
codex-m,0.342474,0.342941,0.343299,structural_r3d6_filtered,0.000825,0.000358,0.000000,0.273058,0.274513,0.274901,0.479100,0.478179,0.478276,2292.779935,2362.441602,2323.243848
hetionet,0.362111,0.369847,0.368801,structural_r2d3_filtered,0.007736,0.000000,0.001046,0.299507,0.307010,0.305848,0.484168,0.494263,0.493816,6535.411396,10140.048418,9634.034912
