dataset,#entity,#relation,#train,#test,#valid,#rule,#B rule,#Ud rule,#Uc rule,#synergy,#redundancy,#filtered_synergy,#filtered_redundancy
FB15k-237,14541,237,272115,20466,17535,1737378,85209,253307,1398534,3021796,9908013,1453172,2493217
KG20C,16362,5,48213,3724,3670,154790,56,22466,132224,273752,1942,166721,1594
WN18RR,40943,11,86835,3134,3034,76909,8781,12588,55510,66289,14745,32227,12985
YAGO3-10,123182,37,1079040,5000,5000,990481,3546,122664,862039,2476220,1527581,887353,819806
codex-l,77951,69,551193,30622,30622,273472,7174,49811,215907,542853,1169530,248326,207004
codex-m,17050,51,185584,10311,10310,518279,5400,38030,474579,1055428,1578683,463459,419748
hetionet,45158,24,1800157,225020,225020,6103910,2334,379244,5717392,24410345,18865199,4480693,2673911
