dataset,aggregation,relation,relation_name,train_triple_count,valid_triple_count,test_triple_count,stage1_mrr,final_test_mrr,abs_gain,rel_gain_pct,gain_bucket,selected_stage,dependency_stage_attempted,dependency_stage_accepted,valid_stage1_mrr,valid_stage2_mrr,valid_gain,num_relation_rules,num_relation_dependencies,num_relation_rule_types,num_relation_dependency_types,num_relation_dependency_type_source_pairs,parsed_total_rules,B_rule_count,Uc_rule_count,Ud_rule_count,Z_rule_count,B_ratio,Uc_ratio,Ud_ratio,filtered_synergy_count,filtered_redundancy_count,filtered_dep_total,filtered_dep_per_rule,dep_per_rule,stage1_headroom,rule_weight_B,rule_weight_U,rule_weight_Uc,rule_weight_Ud,dep_weight_BB,dep_weight_BU,dep_weight_UU,dep_weight_B_Uc,dep_weight_B_Ud,dep_weight_Uc_Uc,dep_weight_Uc_Ud,dep_weight_Ud_Ud,stage1_bucket,dep_density_bucket
FB15k-237,structural_r2d3,10.00000,/award/award_category/winners./award/award_honor/ceremony,2834.00000,283.00000,323.00000,0.83470,0.83470,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.84160,0.84160,0.00000,28288.00000,78126.00000,2.00000,0.00000,0.00000,28288.00000,149.00000,26910.00000,1229.00000,0.00000,0.00527,0.95129,0.04345,21550.00000,56576.00000,78126.00000,2.76181,2.76181,0.16530,0.60484,0.30404,,,1.00000,1.00000,1.00000,,,,,,"[0.6,1.0]",Q4
FB15k-237,structural_r2d3,11.00000,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,1429.00000,162.00000,158.00000,0.50813,0.50813,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.51068,0.51068,0.00000,2546.00000,8167.00000,2.00000,0.00000,0.00000,2546.00000,299.00000,2099.00000,147.00000,1.00000,0.11744,0.82443,0.05774,5092.00000,3075.00000,8167.00000,3.20778,3.20778,0.49187,0.54208,0.49044,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,12.00000,/award/award_winning_work/awards_won./award/award_honor/award_winner,2992.00000,24.00000,24.00000,0.22923,0.22923,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.17039,0.17039,0.00000,6938.00000,19198.00000,2.00000,0.00000,0.00000,6938.00000,1560.00000,3084.00000,2294.00000,0.00000,0.22485,0.44451,0.33064,8882.00000,10316.00000,19198.00000,2.76708,2.76708,0.77077,1.00000,1.00000,,,1.00000,1.00000,1.00000,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,13.00000,/film/film/release_date_s./film/film_regional_release_date/film_release_region,12893.00000,1228.00000,1447.00000,0.37990,0.37990,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.37067,0.37067,0.00000,299952.00000,636550.00000,2.00000,0.00000,0.00000,299952.00000,2148.00000,270892.00000,26868.00000,44.00000,0.00716,0.90312,0.08957,36646.00000,599904.00000,636550.00000,2.12217,2.12217,0.62010,0.59586,0.08889,,,1.00000,1.00000,1.00000,,,,,,"[0.2,0.4)",Q3
FB15k-237,structural_r2d3,14.00000,/film/film/language,2570.00000,241.00000,314.00000,0.52291,0.52291,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.49218,0.49218,0.00000,5666.00000,13817.00000,2.00000,0.00000,0.00000,5666.00000,839.00000,3846.00000,977.00000,4.00000,0.14808,0.67879,0.17243,7308.00000,6509.00000,13817.00000,2.43858,2.43858,0.47709,0.60624,0.88468,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,15.00000,/location/location/contains,5201.00000,303.00000,330.00000,0.43477,0.43477,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.45157,0.45157,0.00000,8788.00000,19600.00000,2.00000,0.00000,0.00000,8788.00000,3284.00000,3608.00000,1891.00000,5.00000,0.37369,0.41056,0.21518,2024.00000,17576.00000,19600.00000,2.23031,2.23031,0.56523,0.92792,1.12329,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,16.00000,/organization/organization/headquarters./location/mailing_address/country,182.00000,12.00000,7.00000,0.44989,0.48517,0.03528,7.84114,positive,dependency,1.00000,1.00000,0.52129,0.64654,0.12525,580.00000,2033.00000,2.00000,3.00000,2033.00000,580.00000,412.00000,120.00000,47.00000,1.00000,0.71034,0.20690,0.08103,1160.00000,873.00000,2033.00000,3.50517,3.50517,0.55011,0.94768,0.98131,,,1.04087,1.03827,1.04082,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,17.00000,/people/person/profession,10945.00000,1126.00000,1311.00000,0.40467,0.40467,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.39444,0.39442,-0.00002,23315.00000,28042.00000,2.00000,0.00000,0.00000,23315.00000,936.00000,19105.00000,3255.00000,19.00000,0.04015,0.81943,0.13961,16358.00000,11684.00000,28042.00000,1.20275,1.20275,0.59533,0.60778,0.94616,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q3
FB15k-237,structural_r2d3,18.00000,/location/statistical_region/religions./location/religion_percentage/religion,596.00000,70.00000,60.00000,0.61528,0.61528,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.58339,0.58339,0.00000,4881.00000,19524.00000,2.00000,0.00000,0.00000,4881.00000,163.00000,3977.00000,741.00000,0.00000,0.03339,0.81479,0.15181,9762.00000,9762.00000,19524.00000,4.00000,4.00000,0.38472,0.60472,0.57872,,,1.00000,1.00000,1.00000,,,,,,"[0.6,1.0]",Q4
FB15k-237,structural_r2d3,19.00000,/award/award_nominee/award_nominations./award/award_nomination/award,12157.00000,827.00000,1067.00000,0.20171,0.21140,0.00968,4.79935,positive,dependency,1.00000,1.00000,0.20440,0.21412,0.00971,50398.00000,97814.00000,2.00000,3.00000,97814.00000,50398.00000,1476.00000,36657.00000,12246.00000,19.00000,0.02929,0.72735,0.24299,64595.00000,33219.00000,97814.00000,1.94083,1.94083,0.79829,0.80096,1.03858,,,1.03712,1.07367,1.06734,,,,,,"[0.2,0.4)",Q3
FB15k-237,structural_r2d3,20.00000,/music/genre/artists,5880.00000,590.00000,664.00000,0.26473,0.26473,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.25580,0.25580,0.00000,17774.00000,42913.00000,2.00000,0.00000,0.00000,17774.00000,412.00000,12377.00000,4972.00000,13.00000,0.02318,0.69635,0.27973,35548.00000,7365.00000,42913.00000,2.41437,2.41437,0.73527,0.73825,0.97095,,,1.00000,1.00000,1.00000,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,21.00000,/influence/influence_node/influenced_by,1908.00000,178.00000,235.00000,0.14184,0.14184,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.15837,0.15837,0.00000,3523.00000,692.00000,2.00000,0.00000,0.00000,3523.00000,232.00000,1290.00000,2001.00000,0.00000,0.06585,0.36617,0.56798,680.00000,12.00000,692.00000,0.19642,0.19642,0.85816,0.96757,2.05556,,,1.00000,1.00000,1.00000,,,,,,"[0.0,0.2)",Q2
FB15k-237,structural_r2d3,22.00000,/education/educational_institution/students_graduates./education/education/student,2640.00000,278.00000,311.00000,0.10845,0.10897,0.00051,0.47381,neutral,dependency,1.00000,1.00000,0.12810,0.13008,0.00198,2534.00000,63.00000,2.00000,1.00000,63.00000,2534.00000,249.00000,699.00000,1585.00000,1.00000,0.09826,0.27585,0.62549,62.00000,1.00000,63.00000,0.02486,0.02486,0.89155,1.24446,2.20377,,,,,1.46283,,,,,,"[0.0,0.2)",Q1
FB15k-237,structural_r2d3,23.00000,/organization/organization_member/member_of./organization/organization_membership/organization,797.00000,84.00000,96.00000,0.52005,0.52005,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.57156,0.57156,0.00000,7372.00000,22104.00000,2.00000,0.00000,0.00000,7372.00000,356.00000,6294.00000,720.00000,2.00000,0.04829,0.85377,0.09767,7360.00000,14744.00000,22104.00000,2.99837,2.99837,0.47995,0.56758,0.53850,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,24.00000,/people/person/place_of_birth,2465.00000,148.00000,170.00000,0.13406,0.13791,0.00385,2.87239,neutral,dependency,1.00000,1.00000,0.12284,0.12475,0.00191,1998.00000,148.00000,2.00000,3.00000,148.00000,1998.00000,460.00000,588.00000,948.00000,2.00000,0.23023,0.29429,0.47447,125.00000,23.00000,148.00000,0.07407,0.07407,0.86594,1.64534,1.87294,,,1.51645,1.63680,1.72003,,,,,,"[0.0,0.2)",Q1
FB15k-237,structural_r2d3,25.00000,/common/topic/webpage./common/webpage/category,3612.00000,350.00000,402.00000,0.49502,0.49502,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.50282,0.50282,0.00000,5364.00000,5413.00000,2.00000,0.00000,0.00000,5364.00000,2031.00000,3060.00000,272.00000,1.00000,0.37864,0.57047,0.05071,0.00000,5413.00000,5413.00000,1.00913,1.00913,0.50498,1.00000,1.00000,,,1.00000,,1.00000,,,,,,"[0.4,0.6)",Q3
FB15k-237,structural_r2d3,26.00000,/film/film/other_crew./film/film_crew_gig/film_crew_role,5305.00000,534.00000,606.00000,0.38875,0.38875,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.41172,0.41172,0.00000,42988.00000,52030.00000,2.00000,0.00000,0.00000,42988.00000,255.00000,41167.00000,1555.00000,11.00000,0.00593,0.95764,0.03617,25877.00000,26153.00000,52030.00000,1.21034,1.21034,0.61125,0.62727,0.38665,,,1.00000,1.00000,1.00000,,,,,,"[0.2,0.4)",Q3
FB15k-237,structural_r2d3,27.00000,/award/award_ceremony/awards_presented./award/award_honor/award_winner,2727.00000,293.00000,317.00000,0.37701,0.37701,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.37954,0.37953,-0.00001,8911.00000,25817.00000,2.00000,0.00000,0.00000,8911.00000,449.00000,5491.00000,2971.00000,0.00000,0.05039,0.61620,0.33341,11751.00000,14066.00000,25817.00000,2.89721,2.89721,0.62299,0.87425,0.99287,,,1.00000,1.00000,1.00000,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,28.00000,/film/film/country,2407.00000,135.00000,131.00000,0.42460,0.42460,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.41615,0.41615,0.00000,8406.00000,10943.00000,2.00000,0.00000,0.00000,8406.00000,1792.00000,5498.00000,1112.00000,4.00000,0.21318,0.65406,0.13229,6689.00000,4254.00000,10943.00000,1.30181,1.30181,0.57540,0.62991,0.83200,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q3
