selector,dataset,coverage,feature,n,min,q25,median,q75,max,mean
balanced5_rf,FB15k-237,0.1,synergy_weight_top5_mean,4082,0.0,0.8576595,1.134126,1.35757,2.290384,1.0671991139147476
balanced5_rf,FB15k-237,0.1,max_candidate_dep_score,4082,-0.4177720000000001,0.2309357000000002,0.5365906,0.9607850000000004,4.957934000000008,0.7025295757226848
balanced5_rf,FB15k-237,0.1,topk_rule_weight,4082,0.1411864440405439,0.6024212185880068,0.8932931080451711,1.1998251418058543,1.8562979903656265,0.912269813770056
balanced5_rf,FB15k-237,0.1,num_neg_dep,4082,0.0,2.0,14.0,45.0,369.0,37.92307692307692
balanced5_rf,FB15k-237,0.1,effective_candidates,4082,4.921896148327559,99.4871493319342,100.05060078580607,102.08292777601068,162.9872922148379,101.80988278566436
balanced5_rf,FB15k-237,0.2,synergy_weight_top5_mean,8164,0.0,0.784911,1.040705,1.315874,2.352808,1.0015416302057816
balanced5_rf,FB15k-237,0.2,max_candidate_dep_score,8164,-0.9572362000000002,0.0901954,0.3681506000000001,0.7651589999999999,6.011376100000017,0.5376421630450758
balanced5_rf,FB15k-237,0.2,topk_rule_weight,8164,0.0911954290530633,0.6138451135740821,0.8912117007518999,1.1998251418058543,2.0109737424023755,0.9460834826425479
balanced5_rf,FB15k-237,0.2,num_neg_dep,8164,0.0,2.0,14.0,48.0,369.0,45.91462518373346
balanced5_rf,FB15k-237,0.2,effective_candidates,8164,1.993683544904549,99.4868475681576,100.06343314126026,102.4420685486499,165.96783336299018,102.80751954328912
balanced5_rf,FB15k-237,0.5,synergy_weight_top5_mean,20410,0.0,0.0,0.540552,1.088166,2.364568,0.6150683589988568
balanced5_rf,FB15k-237,0.5,max_candidate_dep_score,20410,-1.5294449,0.0,0.05333455,0.40329007500000036,6.011376100000017,0.2854202087751102
balanced5_rf,FB15k-237,0.5,topk_rule_weight,20410,0.0034973805321706,0.3495574761698683,0.803861099698232,1.213022639845854,2.024432172826236,0.8325718753553778
balanced5_rf,FB15k-237,0.5,num_neg_dep,20410,0.0,0.0,5.0,25.0,369.0,29.357128858402742
balanced5_rf,FB15k-237,0.5,effective_candidates,20410,1.0,99.41082383426571,99.97728494320751,100.99706241956996,165.96783336299018,94.15860314079377
balanced5_rf,KG20C,0.1,synergy_weight_top5_mean,745,0.0,0.23538,0.44354,0.68952,0.78584,0.4267686033557047
balanced5_rf,KG20C,0.1,max_candidate_dep_score,745,0.0,0.0009982299815611,0.0031297739641316,0.0038730327596244,0.136238,0.0059279414853588485
balanced5_rf,KG20C,0.1,topk_rule_weight,745,0.0520101135123914,0.0891446869242593,0.1485316071782194,0.2174417286798967,0.4723553399288814,0.16273923691715209
balanced5_rf,KG20C,0.1,num_neg_dep,745,0.0,0.0,0.0,0.0,0.0,0.0
balanced5_rf,KG20C,0.1,effective_candidates,745,99.68471337657608,99.97583951678504,99.99077372920912,99.99900096657042,101.99682110850269,100.11049719023508
balanced5_rf,KG20C,0.2,synergy_weight_top5_mean,1490,0.0,0.0,0.21550249999999999,0.51075375,1.26695,0.27654171062639826
balanced5_rf,KG20C,0.2,max_candidate_dep_score,1490,0.0,0.0,0.0009982299815611,0.003674982053983125,0.136238,0.005750488595605313
balanced5_rf,KG20C,0.2,topk_rule_weight,1490,0.021429936296404,0.08066839622598075,0.1182513247077355,0.2006706954621512,0.5868356419079835,0.14666925269120143
balanced5_rf,KG20C,0.2,num_neg_dep,1490,0.0,0.0,0.0,0.0,1.0,0.0020134228187919465
balanced5_rf,KG20C,0.2,effective_candidates,1490,99.63335761366449,99.9810192528311,99.99195280015121,99.99875861315849,102.82693053076083,100.07219999331978
balanced5_rf,KG20C,0.5,synergy_weight_top5_mean,3724,0.0,0.0,0.476075,0.9175329999999999,1.664406,0.5160473528911564
balanced5_rf,KG20C,0.5,max_candidate_dep_score,3724,0.0,0.0,0.001307365409377,0.0042935856978927,0.2229176,0.012737181247725356
balanced5_rf,KG20C,0.5,topk_rule_weight,3724,0.021429936296404,0.1167860266007148,0.2174417286798967,0.3235914331038515,0.8918083245953777,0.23757061151848444
balanced5_rf,KG20C,0.5,num_neg_dep,3724,0.0,0.0,0.0,0.0,18.0,0.6090225563909775
balanced5_rf,KG20C,0.5,effective_candidates,3724,99.17873915811698,99.95655153280649,99.98867303341865,99.9991870043605,107.5667309180116,100.26882958181059
balanced5_rf,WN18RR,0.1,synergy_weight_top5_mean,606,0.0,0.0,0.34475,0.64683,2.260384,0.44440671259625963
balanced5_rf,WN18RR,0.1,max_candidate_dep_score,606,0.0,0.0,0.14887445,0.2532982,1.7869029999999992,0.24434941501650168
balanced5_rf,WN18RR,0.1,topk_rule_weight,606,0.0009980040748513,0.18966979427262465,0.2739910469354616,0.4063624660428209,1.3862943611198906,0.3497007831364498
balanced5_rf,WN18RR,0.1,num_neg_dep,606,0.0,0.0,0.0,0.0,8.0,0.4521452145214521
balanced5_rf,WN18RR,0.1,effective_candidates,606,1.0,99.90479519260998,99.98916537194282,99.99975155450711,106.93570556619112,97.1255262248358
balanced5_rf,WN18RR,0.2,synergy_weight_top5_mean,1211,0.0,0.0,0.0,0.41137,2.47159,0.257098967519956
balanced5_rf,WN18RR,0.2,max_candidate_dep_score,1211,0.0,0.0,0.0,0.1844086,1.7869029999999992,0.12973420280759704
balanced5_rf,WN18RR,0.2,topk_rule_weight,1211,0.0009980040748513,0.0480173955003965,0.2476892952894575,0.4017006508527217,1.9363406980391624,0.2912703892589738
balanced5_rf,WN18RR,0.2,num_neg_dep,1211,0.0,0.0,0.0,0.0,8.0,0.25681255161023947
balanced5_rf,WN18RR,0.2,effective_candidates,1211,1.0,99.86869929604543,99.97911564522202,99.99984806347602,106.93570556619112,93.05732400640089
balanced5_rf,WN18RR,0.5,synergy_weight_top5_mean,3028,0.0,0.0,0.0,0.0,2.47159,0.10728065763980625
balanced5_rf,WN18RR,0.5,max_candidate_dep_score,3028,0.0,0.0,0.0,0.0,1.7869029999999992,0.0524364107001321
balanced5_rf,WN18RR,0.5,topk_rule_weight,3028,0.0009980040748513,0.0471522324624511,0.1343381009776158,0.2876820724517809,1.9363406980391624,0.21561751229135787
balanced5_rf,WN18RR,0.5,num_neg_dep,3028,0.0,0.0,0.0,0.0,8.0,0.10766182298546896
balanced5_rf,WN18RR,0.5,effective_candidates,3028,1.0,99.98810074096482,99.99977607538327,99.99999782331321,106.93570556619112,96.97042311503178
balanced5_rf,YAGO3-10,0.1,synergy_weight_top5_mean,998,0.430174,2.127252,2.920498,2.931678,3.270886,2.6469678877755514
