dataset,aggregation,type_grouping,typed_test_mrr,num_relations,num_relations_with_rule_type_weights,num_relations_with_dep_type_weights,top_rule_type,top_rule_type_share,top_dep_type,top_dep_type_share,rule_type_entropy,dep_type_entropy,ud_lt_b_lt_uc_ratio,dominant_rule_share_B,median_rule_weight_B,median_rule_impact_B,dominant_rule_share_U,median_rule_weight_U,median_rule_impact_U,dominant_rule_share_Uc,median_rule_weight_Uc,median_rule_impact_Uc,dominant_rule_share_Ud,median_rule_weight_Ud,median_rule_impact_Ud,dominant_dep_share_BB,median_dep_weight_BB,median_dep_impact_BB,dominant_dep_share_BU,median_dep_weight_BU,median_dep_impact_BU,dominant_dep_share_UU,median_dep_weight_UU,median_dep_impact_UU,dominant_dep_share_B_Uc,median_dep_weight_B_Uc,median_dep_impact_B_Uc,dominant_dep_share_B_Ud,median_dep_weight_B_Ud,median_dep_impact_B_Ud,dominant_dep_share_Uc_Uc,median_dep_weight_Uc_Uc,median_dep_impact_Uc_Uc,dominant_dep_share_Uc_Ud,median_dep_weight_Uc_Ud,median_dep_impact_Uc_Ud,dominant_dep_share_Ud_Ud,median_dep_weight_Ud_Ud,median_dep_impact_Ud_Ud
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,r2d3,0.233952,5,5,5,U,1.000000,UU,0.800000,0.000000,0.721928,,0.000000,1.166501,9.226866,1.000000,2.257815,35161.716027,0.000000,,,0.000000,,,0.000000,0.927833,15.561107,0.200000,1.384443,8791.792563,0.800000,1.357336,3143.232938,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,rd,0.344803,46,0,0,,,,,,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
WN18RR,structural_rd,rd,0.502189,11,0,0,,,,,,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,237,237,231,U,0.877637,UU,0.552743,0.536115,0.688886,,0.122363,0.981364,160.660466,0.877637,1.057395,844.241318,0.000000,,,0.000000,,,0.405063,1.017608,802.000000,0.016878,1.016274,114.155131,0.552743,1.018840,931.162137,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,rd,0.334178,65,0,0,,,,,,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
YAGO3-10,structural_dep_scale,mixed,0.577961,37,0,0,,,,,,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
hetionet,dep_scale_surprisal_init,mixed,0.378467,24,0,0,,,,,,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,,0.000000,,
